sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
1,0.000,1.370,0.000,0.000,0.000,0.000,1.370,1,0,0
2,0.000,1.241,0.000,0.000,0.000,0.000,1.241,1,0,0
3,0.000,1.239,0.000,0.000,0.000,0.000,1.239,1,0,0
4,0.000,1.289,0.000,0.000,0.000,0.000,1.289,1,0,0
5,0.000,1.235,0.000,0.000,0.000,0.000,1.235,1,0,0
6,0.000,1.238,0.000,0.000,0.000,0.000,1.238,1,0,0
7,0.000,1.287,0.000,0.000,0.000,0.000,1.287,1,0,0
8,0.000,1.239,0.000,0.000,0.000,0.000,1.239,1,0,0
9,0.000,1.239,0.000,0.000,0.000,0.000,1.239,1,0,0
10,0.000,1.283,0.000,0.000,0.000,0.000,1.283,1,0,0
11,0.000,1.286,0.000,0.000,0.000,0.000,1.286,1,0,0
21,0.000,1.284,0.000,0.000,0.000,0.000,1.284,1,0,0
31,0.000,1.268,0.000,0.000,0.000,0.000,1.268,1,1,1
41,0.000,1.306,0.000,0.000,0.000,0.000,1.306,1,1,1
