sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
1,0.000,4.297,0.000,0.000,0.000,0.000,4.297,0,0,1
2,0.000,4.147,0.000,0.000,0.000,0.000,4.147,0,0,1
3,0.000,4.196,0.000,0.000,0.000,0.000,4.196,4,0,0
4,0.000,4.211,0.000,0.000,0.000,0.000,4.211,4,0,0
5,0.000,4.196,0.000,0.000,0.000,0.000,4.196,6,0,0
6,0.000,4.196,0.000,0.000,0.000,0.000,4.196,6,0,0
7,0.000,4.196,0.000,0.000,0.000,0.000,4.196,0,0,1
8,0.000,4.214,0.000,0.000,0.000,0.000,4.214,0,0,1
9,0.000,4.203,0.000,0.000,0.000,0.000,4.203,0,0,1
10,0.000,4.222,0.000,0.000,0.000,0.000,4.222,0,0,1
11,0.000,4.212,0.000,0.000,0.000,0.000,4.212,0,0,1
21,0.000,4.194,0.000,0.000,0.000,0.000,4.194,0,0,1
31,0.000,4.263,0.000,0.000,0.000,0.000,4.263,6,0,0
41,0.000,4.253,0.000,0.000,0.000,0.000,4.253,0,0,1
51,0.000,4.267,0.000,0.000,0.000,0.000,4.267,0,0,1
61,0.000,4.266,0.000,0.000,0.000,0.000,4.266,0,0,1
71,0.000,4.254,0.000,0.000,0.000,0.000,4.254,0,0,1
81,0.000,4.243,0.000,0.000,0.000,0.000,4.243,4,0,0
91,0.000,4.155,0.000,0.000,0.000,0.000,4.155,4,0,0
101,0.000,4.231,0.000,0.000,0.000,0.000,4.231,8,1,0
111,0.000,4.277,0.000,0.000,0.000,0.000,4.277,1,1,1
121,0.000,4.277,0.000,0.000,0.000,0.000,4.277,1,1,1
131,0.000,4.282,0.000,0.000,0.000,0.000,4.282,1,1,1
141,0.000,4.196,0.000,0.000,0.000,0.000,4.196,1,1,1
151,0.000,4.233,0.000,0.000,0.000,0.000,4.233,5,1,0
161,0.000,4.189,0.000,0.000,0.000,0.000,4.189,5,1,0
171,0.000,4.190,0.000,0.000,0.000,0.000,4.190,1,1,1
181,0.000,4.189,0.000,0.000,0.000,0.000,4.189,1,1,1
191,0.000,4.187,0.000,0.000,0.000,0.000,4.187,1,1,1
201,0.000,4.188,0.000,0.000,0.000,0.000,4.188,2,2,1
211,0.000,4.188,0.000,0.000,0.000,0.000,4.188,2,2,1
221,0.000,4.189,0.000,0.000,0.000,0.000,4.189,8,2,0
231,0.000,4.223,0.000,0.000,0.000,0.000,4.223,3,2,0
241,0.000,4.220,0.000,0.000,0.000,0.000,4.220,2,2,1
251,0.000,4.224,0.000,0.000,0.000,0.000,4.224,3,2,0
261,0.000,4.225,0.000,0.000,0.000,0.000,4.225,2,2,1
271,0.000,4.226,0.000,0.000,0.000,0.000,4.226,2,2,1
281,0.000,4.222,0.000,0.000,0.000,0.000,4.222,4,2,0
291,0.000,4.197,0.000,0.000,0.000,0.000,4.197,0,2,0
301,0.000,4.159,0.000,0.000,0.000,0.000,4.159,3,3,1
311,0.000,4.189,0.000,0.000,0.000,0.000,4.189,3,3,1
321,0.000,4.201,0.000,0.000,0.000,0.000,4.201,3,3,1
331,0.000,4.209,0.000,0.000,0.000,0.000,4.209,3,3,1
341,0.000,4.232,0.000,0.000,0.000,0.000,4.232,3,3,1
351,0.000,4.218,0.000,0.000,0.000,0.000,4.218,3,3,1
361,0.000,4.220,0.000,0.000,0.000,0.000,4.220,3,3,1
371,0.000,4.190,0.000,0.000,0.000,0.000,4.190,3,3,1
381,0.000,4.179,0.000,0.000,0.000,0.000,4.179,3,3,1
391,0.000,4.180,0.000,0.000,0.000,0.000,4.180,3,3,1
401,0.000,4.221,0.000,0.000,0.000,0.000,4.221,4,4,1
411,0.000,4.220,0.000,0.000,0.000,0.000,4.220,4,4,1
421,0.000,4.219,0.000,0.000,0.000,0.000,4.219,4,4,1
431,0.000,4.222,0.000,0.000,0.000,0.000,4.222,4,4,1
441,0.000,4.224,0.000,0.000,0.000,0.000,4.224,4,4,1
451,0.000,4.209,0.000,0.000,0.000,0.000,4.209,4,4,1
461,0.000,4.225,0.000,0.000,0.000,0.000,4.225,4,4,1
471,0.000,4.174,0.000,0.000,0.000,0.000,4.174,4,4,1
481,0.000,4.198,0.000,0.000,0.000,0.000,4.198,4,4,1
491,0.000,4.216,0.000,0.000,0.000,0.000,4.216,4,4,1
501,0.000,4.221,0.000,0.000,0.000,0.000,4.221,1,5,0
511,0.000,4.188,0.000,0.000,0.000,0.000,4.188,5,5,1
521,0.000,4.189,0.000,0.000,0.000,0.000,4.189,5,5,1
531,0.000,4.189,0.000,0.000,0.000,0.000,4.189,5,5,1
541,0.000,4.202,0.000,0.000,0.000,0.000,4.202,5,5,1
551,0.000,4.194,0.000,0.000,0.000,0.000,4.194,5,5,1
561,0.000,4.169,0.000,0.000,0.000,0.000,4.169,9,5,0
571,0.000,4.189,0.000,0.000,0.000,0.000,4.189,5,5,1
581,0.000,4.205,0.000,0.000,0.000,0.000,4.205,5,5,1
591,0.000,4.195,0.000,0.000,0.000,0.000,4.195,9,5,0
601,0.000,4.188,0.000,0.000,0.000,0.000,4.188,6,6,1
611,0.000,4.192,0.000,0.000,0.000,0.000,4.192,6,6,1
621,0.000,4.204,0.000,0.000,0.000,0.000,4.204,6,6,1
631,0.000,4.200,0.000,0.000,0.000,0.000,4.200,6,6,1
641,0.000,4.190,0.000,0.000,0.000,0.000,4.190,6,6,1
651,0.000,4.183,0.000,0.000,0.000,0.000,4.183,4,6,0
661,0.000,4.204,0.000,0.000,0.000,0.000,4.204,6,6,1
671,0.000,4.199,0.000,0.000,0.000,0.000,4.199,4,6,0
681,0.000,4.242,0.000,0.000,0.000,0.000,4.242,4,6,0
691,0.000,4.201,0.000,0.000,0.000,0.000,4.201,6,6,1
701,0.000,4.211,0.000,0.000,0.000,0.000,4.211,7,7,1
711,0.000,4.222,0.000,0.000,0.000,0.000,4.222,7,7,1
721,0.000,4.239,0.000,0.000,0.000,0.000,4.239,7,7,1
731,0.000,4.227,0.000,0.000,0.000,0.000,4.227,7,7,1
741,0.000,4.191,0.000,0.000,0.000,0.000,4.191,7,7,1
751,0.000,4.194,0.000,0.000,0.000,0.000,4.194,7,7,1
761,0.000,4.249,0.000,0.000,0.000,0.000,4.249,1,7,0
771,0.000,4.228,0.000,0.000,0.000,0.000,4.228,7,7,1
781,0.000,4.230,0.000,0.000,0.000,0.000,4.230,7,7,1
791,0.000,4.230,0.000,0.000,0.000,0.000,4.230,7,7,1
801,0.000,4.232,0.000,0.000,0.000,0.000,4.232,8,8,1
811,0.000,4.237,0.000,0.000,0.000,0.000,4.237,8,8,1
821,0.000,4.180,0.000,0.000,0.000,0.000,4.180,8,8,1
831,0.000,4.189,0.000,0.000,0.000,0.000,4.189,8,8,1
841,0.000,4.183,0.000,0.000,0.000,0.000,4.183,8,8,1
851,0.000,4.230,0.000,0.000,0.000,0.000,4.230,8,8,1
861,0.000,4.184,0.000,0.000,0.000,0.000,4.184,7,8,0
871,0.000,4.308,0.000,0.000,0.000,0.000,4.308,8,8,1
881,0.000,4.229,0.000,0.000,0.000,0.000,4.229,3,8,0
891,0.000,4.205,0.000,0.000,0.000,0.000,4.205,3,8,0
901,0.000,4.275,0.000,0.000,0.000,0.000,4.275,9,9,1
911,0.000,4.304,0.000,0.000,0.000,0.000,4.304,7,9,0
921,0.000,4.315,0.000,0.000,0.000,0.000,4.315,5,9,0
931,0.000,4.313,0.000,0.000,0.000,0.000,4.313,7,9,0
941,0.000,4.204,0.000,0.000,0.000,0.000,4.204,9,9,1
951,0.000,4.186,0.000,0.000,0.000,0.000,4.186,5,9,0
961,0.000,4.309,0.000,0.000,0.000,0.000,4.309,9,9,1
971,0.000,4.305,0.000,0.000,0.000,0.000,4.305,1,9,0
981,0.000,4.301,0.000,0.000,0.000,0.000,4.301,7,9,0
991,0.000,4.265,0.000,0.000,0.000,0.000,4.265,9,9,1
