sample_id,total_ms,predicted,actual,correct
0,40.922,0,0,1
1,40.781,0,0,1
2,42.243,1,0,0
3,58.983,0,0,1
4,54.668,0,0,1
5,72.344,0,0,1
6,70.643,0,0,1
7,70.317,0,0,1
8,74.840,0,0,1
9,70.300,0,0,1
10,70.219,0,0,1
11,58.400,1,0,0
12,46.798,0,0,1
13,46.820,0,0,1
14,46.823,0,0,1
15,46.820,0,0,1
16,46.817,0,0,1
17,46.811,0,0,1
18,46.828,0,0,1
19,46.867,0,0,1
20,46.863,1,0,0
21,46.847,0,0,1
22,37.543,0,0,1
23,35.147,0,0,1
24,35.108,0,0,1
25,35.117,0,0,1
26,35.091,0,0,1
27,35.100,0,0,1
28,35.104,0,0,1
29,35.108,0,0,1
30,35.096,0,0,1
31,35.102,0,0,1
32,37.013,1,0,0
33,35.103,1,0,0
34,35.096,0,0,1
35,35.109,0,0,1
36,34.102,0,0,1
37,32.393,0,0,1
38,32.398,2,0,0
39,32.402,0,0,1
40,32.393,1,0,0
41,32.407,0,0,1
42,32.407,0,0,1
43,32.398,0,0,1
44,32.414,0,0,1
45,32.412,0,0,1
46,32.458,0,0,1
47,32.477,0,0,1
48,28.229,1,0,0
49,28.734,0,0,1
50,28.883,0,0,1
51,27.678,0,0,1
52,32.535,0,0,1
53,32.474,0,0,1
54,32.525,0,0,1
55,32.479,0,0,1
56,32.487,0,0,1
57,32.475,0,0,1
58,32.475,0,0,1
59,32.499,0,0,1
60,32.475,0,0,1
61,32.484,2,0,0
62,36.123,0,0,1
63,32.486,0,0,1
64,32.497,0,0,1
65,32.555,0,0,1
66,32.643,0,0,1
67,33.080,0,0,1
68,32.488,0,0,1
69,32.479,0,0,1
70,32.486,0,0,1
71,32.468,0,0,1
72,32.471,0,0,1
73,32.384,0,0,1
74,32.337,0,0,1
75,32.297,1,0,0
76,32.309,1,0,0
77,32.301,0,0,1
78,32.308,0,0,1
79,32.318,0,0,1
80,32.307,0,0,1
81,32.315,0,0,1
82,33.071,0,0,1
83,32.498,0,0,1
84,32.471,0,0,1
85,32.479,0,0,1
86,32.478,0,0,1
87,32.491,0,0,1
88,32.452,0,0,1
89,32.413,1,0,0
90,32.399,0,0,1
91,32.407,0,0,1
92,34.275,0,0,1
93,32.417,0,0,1
94,32.415,0,0,1
95,32.421,0,0,1
96,32.413,0,0,1
97,32.398,0,0,1
98,33.369,0,0,1
99,32.406,0,0,1
100,32.411,0,0,1
101,32.396,1,0,0
102,32.394,0,0,1
103,32.381,0,0,1
104,32.417,0,0,1
105,32.395,0,0,1
106,32.409,0,0,1
107,32.397,0,0,1
108,32.485,0,0,1
109,32.403,0,0,1
110,32.420,0,0,1
111,32.417,0,0,1
112,28.494,0,0,1
113,28.171,0,0,1
114,27.470,0,0,1
115,27.519,0,0,1
116,27.377,0,0,1
117,27.380,0,0,1
118,27.413,1,0,0
119,27.362,0,0,1
120,27.412,0,0,1
121,27.544,2,0,0
122,27.536,1,0,0
123,27.404,0,0,1
124,29.476,0,0,1
125,27.468,0,0,1
126,27.517,0,0,1
127,27.267,0,0,1
128,27.460,0,0,1
129,27.485,0,0,1
130,27.437,1,0,0
131,28.071,1,0,0
132,27.416,1,0,0
133,27.272,0,0,1
134,27.302,0,0,1
135,27.524,0,0,1
136,27.524,0,0,1
137,27.517,0,0,1
138,27.208,0,0,1
139,27.310,1,0,0
140,27.241,0,0,1
141,27.256,0,0,1
142,27.361,0,0,1
143,27.484,0,0,1
144,28.037,1,0,0
145,28.414,0,0,1
146,28.239,0,0,1
147,27.610,0,0,1
148,27.886,0,0,1
149,27.603,0,0,1
150,29.287,0,0,1
151,28.074,0,0,1
152,27.483,0,0,1
153,27.632,0,0,1
154,28.278,0,0,1
155,28.262,0,0,1
156,27.776,0,0,1
157,27.699,0,0,1
158,27.652,0,0,1
159,29.626,0,0,1
160,28.151,0,0,1
161,27.981,0,0,1
162,28.087,0,0,1
163,28.266,0,0,1
164,27.922,0,0,1
165,27.816,0,0,1
166,28.400,0,0,1
167,28.380,0,0,1
168,27.475,1,0,0
169,27.422,0,0,1
170,27.380,0,0,1
171,27.368,0,0,1
172,27.448,0,0,1
173,27.369,0,0,1
174,27.244,0,0,1
175,27.249,0,0,1
176,27.398,0,0,1
177,27.416,0,0,1
178,27.466,0,0,1
179,27.387,0,0,1
180,27.395,0,0,1
181,27.219,0,0,1
182,27.201,0,0,1
183,27.183,0,0,1
184,27.250,0,0,1
185,27.146,0,0,1
186,28.407,0,0,1
187,27.388,2,0,0
188,27.303,0,0,1
189,27.214,0,0,1
190,27.201,0,0,1
191,27.180,0,0,1
192,27.254,0,0,1
193,27.269,0,0,1
194,27.391,0,0,1
195,29.386,0,0,1
196,27.187,0,0,1
197,27.280,0,0,1
198,27.196,0,0,1
199,27.243,0,0,1
200,27.264,0,0,1
201,27.294,0,0,1
202,27.235,0,0,1
203,27.291,0,0,1
204,28.282,1,0,0
205,27.182,0,0,1
206,27.275,0,0,1
207,27.214,0,0,1
208,27.379,0,0,1
209,27.370,0,0,1
210,27.270,0,0,1
211,27.192,0,0,1
212,27.195,1,0,0
213,27.252,0,0,1
214,27.278,0,0,1
215,27.355,0,0,1
216,27.419,0,0,1
217,27.419,0,0,1
218,27.347,1,0,0
219,27.369,0,0,1
220,27.263,0,0,1
221,27.232,0,0,1
222,28.168,0,0,1
223,27.358,0,0,1
224,27.396,1,0,0
225,27.204,0,0,1
226,27.152,1,0,0
227,27.214,0,0,1
228,27.226,1,0,0
229,27.227,0,0,1
230,29.493,1,0,0
231,27.397,0,0,1
232,27.253,0,0,1
233,27.714,0,0,1
234,29.051,0,0,1
235,28.491,1,0,0
