sample_id,total_ms,predicted,actual,correct
0,3.317,0,0,1
1,3.362,0,0,1
2,3.338,4,0,0
3,3.374,0,0,1
4,3.369,0,0,1
5,3.341,6,0,0
6,3.306,0,0,1
7,3.365,0,0,1
8,3.333,0,0,1
9,3.356,0,0,1
10,3.376,0,0,1
11,3.334,0,0,1
12,3.305,0,0,1
13,3.362,0,0,1
14,3.332,0,0,1
15,3.357,0,0,1
16,3.345,0,0,1
17,3.308,5,0,0
18,3.304,6,0,0
19,3.398,9,0,0
20,3.302,0,0,1
21,3.322,4,0,0
22,3.351,6,0,0
23,3.301,4,0,0
24,3.303,0,0,1
25,3.336,0,0,1
26,3.308,4,0,0
27,3.336,0,0,1
28,3.379,0,0,1
29,3.303,0,0,1
30,3.299,0,0,1
31,3.345,0,0,1
32,3.586,4,0,0
33,3.367,0,0,1
34,3.369,0,0,1
35,3.334,0,0,1
36,3.335,5,0,0
37,3.355,0,0,1
38,3.415,6,0,0
39,3.381,0,0,1
40,3.375,0,0,1
41,3.334,4,0,0
42,3.321,4,0,0
43,3.348,0,0,1
44,3.333,0,0,1
45,3.375,0,0,1
46,3.381,0,0,1
47,3.362,0,0,1
48,3.358,4,0,0
49,3.357,0,0,1
50,3.364,0,0,1
51,3.377,0,0,1
52,3.359,0,0,1
53,3.323,0,0,1
54,3.317,0,0,1
55,3.332,0,0,1
56,3.328,0,0,1
57,3.394,0,0,1
58,3.348,0,0,1
59,3.363,4,0,0
60,3.349,3,0,0
61,3.355,0,0,1
62,3.356,6,0,0
63,3.380,0,0,1
64,3.364,4,0,0
65,3.363,2,0,0
66,3.347,0,0,1
67,3.348,0,0,1
68,3.341,0,0,1
69,3.380,0,0,1
70,3.362,0,0,1
71,3.360,0,0,1
72,3.348,0,0,1
73,3.363,0,0,1
74,3.366,0,0,1
75,3.354,4,0,0
76,3.343,0,0,1
77,4.088,0,0,1
78,3.307,0,0,1
79,3.334,0,0,1
80,3.333,0,0,1
81,3.328,0,0,1
82,3.332,0,0,1
83,3.299,0,0,1
84,3.307,0,0,1
85,3.369,0,0,1
86,3.300,6,0,0
87,3.373,2,0,0
88,3.322,6,0,0
89,3.313,4,0,0
90,3.309,0,0,1
91,3.317,4,0,0
92,3.318,0,0,1
93,3.330,0,0,1
94,3.300,0,0,1
95,3.381,0,0,1
96,3.306,4,0,0
97,3.301,4,0,0
98,3.328,0,0,1
99,3.328,0,0,1
100,3.305,0,0,1
101,3.335,6,0,0
102,3.305,4,0,0
103,3.304,0,0,1
104,3.330,0,0,1
105,3.331,4,0,0
106,3.301,0,0,1
107,3.338,0,0,1
108,3.308,0,0,1
109,3.302,4,0,0
110,3.331,0,0,1
111,3.334,4,0,0
112,3.329,0,0,1
113,3.330,0,0,1
114,3.306,5,0,0
115,3.303,4,0,0
116,3.340,4,0,0
117,3.382,0,0,1
118,3.301,6,0,0
119,3.374,8,0,0
120,3.333,0,0,1
121,3.332,6,0,0
122,3.348,0,0,1
123,3.342,0,0,1
124,3.330,0,0,1
125,3.368,0,0,1
126,3.340,0,0,1
127,3.448,6,0,0
128,3.600,4,0,0
129,3.328,0,0,1
130,3.386,4,0,0
131,3.618,7,0,0
132,3.681,0,0,1
133,3.533,0,0,1
134,3.485,0,0,1
135,3.481,0,0,1
136,3.583,0,0,1
137,3.476,0,0,1
138,3.396,0,0,1
139,3.473,0,0,1
140,3.469,4,0,0
141,3.482,4,0,0
142,3.502,6,0,0
143,3.467,4,0,0
144,3.471,0,0,1
145,3.441,0,0,1
146,3.486,0,0,1
147,3.487,3,0,0
148,3.499,0,0,1
149,3.465,0,0,1
150,3.468,0,0,1
151,3.500,0,0,1
152,3.317,4,0,0
153,3.369,6,0,0
154,3.408,2,0,0
155,3.375,4,0,0
156,3.373,9,0,0
157,3.395,0,0,1
158,3.370,9,0,0
159,3.316,0,0,1
160,3.482,0,0,1
161,3.417,4,0,0
162,3.367,0,0,1
163,3.399,4,0,0
164,3.383,0,0,1
165,3.320,0,0,1
166,3.377,4,0,0
167,3.360,0,0,1
168,3.364,6,0,0
169,3.384,3,0,0
170,3.382,4,0,0
171,3.338,0,0,1
172,3.370,0,0,1
173,3.455,0,0,1
174,3.447,6,0,0
175,3.491,0,0,1
176,3.543,0,0,1
177,3.469,0,0,1
178,3.499,5,0,0
179,3.405,0,0,1
180,3.438,0,0,1
181,3.473,0,0,1
182,3.582,0,0,1
183,3.477,0,0,1
184,3.473,0,0,1
185,3.444,0,0,1
186,3.430,4,0,0
187,3.450,0,0,1
188,3.503,7,0,0
189,3.477,0,0,1
190,3.481,2,0,0
191,3.457,0,0,1
192,3.493,0,0,1
193,3.485,0,0,1
194,3.479,0,0,1
195,3.469,0,0,1
196,3.428,0,0,1
197,3.497,4,0,0
198,3.463,0,0,1
199,3.495,0,0,1
200,3.429,0,0,1
201,3.463,0,0,1
202,3.436,0,0,1
203,3.542,4,0,0
204,3.542,0,0,1
205,3.585,0,0,1
206,3.521,0,0,1
