sample_id,total_ms,predicted,actual,correct
0,20.387,0,0,1
1,21.086,0,0,1
2,21.763,0,0,1
3,21.281,0,0,1
4,20.687,0,0,1
5,20.647,0,0,1
6,20.876,0,0,1
7,20.820,0,0,1
8,21.619,4,0,0
9,21.807,0,0,1
10,21.726,0,0,1
11,21.172,0,0,1
12,21.186,0,0,1
13,21.425,0,0,1
14,21.246,0,0,1
15,22.019,0,0,1
16,21.264,0,0,1
17,21.330,0,0,1
18,21.295,0,0,1
19,21.288,0,0,1
20,21.452,0,0,1
21,21.454,0,0,1
22,21.027,0,0,1
23,21.091,0,0,1
24,21.340,0,0,1
25,21.333,0,0,1
26,21.044,0,0,1
27,21.088,0,0,1
28,21.053,0,0,1
29,20.933,0,0,1
30,21.655,4,0,0
31,21.506,0,0,1
32,21.293,0,0,1
33,21.398,0,0,1
34,21.272,0,0,1
35,21.121,0,0,1
36,21.206,0,0,1
37,21.548,0,0,1
38,21.536,0,0,1
39,20.991,0,0,1
40,20.991,0,0,1
41,21.310,0,0,1
42,21.769,0,0,1
43,21.735,0,0,1
44,21.761,0,0,1
45,21.767,0,0,1
46,21.763,0,0,1
47,21.857,0,0,1
48,21.856,0,0,1
49,21.933,0,0,1
50,21.973,0,0,1
51,21.351,0,0,1
52,21.213,0,0,1
53,21.011,0,0,1
54,20.992,0,0,1
55,21.073,0,0,1
56,21.017,0,0,1
57,20.987,0,0,1
58,20.991,0,0,1
59,20.708,0,0,1
60,20.532,0,0,1
61,20.479,0,0,1
62,21.052,0,0,1
63,20.406,0,0,1
64,20.373,0,0,1
65,20.502,0,0,1
66,20.389,0,0,1
67,20.397,0,0,1
68,20.370,0,0,1
69,20.534,0,0,1
70,20.520,0,0,1
71,20.575,0,0,1
72,20.523,0,0,1
73,20.468,0,0,1
74,20.398,0,0,1
75,20.407,0,0,1
76,20.407,4,0,0
77,20.394,0,0,1
78,20.426,0,0,1
79,20.564,0,0,1
80,20.469,0,0,1
81,20.405,0,0,1
82,20.480,0,0,1
83,20.399,0,0,1
84,20.425,5,0,0
85,20.416,0,0,1
86,20.990,0,0,1
87,20.394,5,0,0
88,20.407,0,0,1
89,20.599,0,0,1
90,20.795,0,0,1
91,20.400,0,0,1
92,20.556,0,0,1
93,20.992,4,0,0
94,20.655,0,0,1
95,20.499,0,0,1
96,20.497,0,0,1
97,20.468,0,0,1
98,20.497,0,0,1
99,20.528,0,0,1
100,20.443,0,0,1
101,20.363,0,0,1
102,20.413,0,0,1
103,20.372,0,0,1
104,20.420,0,0,1
105,20.382,0,0,1
106,20.355,0,0,1
107,20.856,0,0,1
108,20.500,0,0,1
109,22.367,0,0,1
110,21.116,0,0,1
111,20.422,0,0,1
112,20.833,0,0,1
113,21.031,0,0,1
114,20.427,0,0,1
115,20.464,0,0,1
116,20.695,0,0,1
117,20.425,0,0,1
118,20.554,5,0,0
119,20.543,0,0,1
120,20.517,0,0,1
121,20.499,0,0,1
122,20.483,0,0,1
123,20.410,0,0,1
124,20.406,0,0,1
125,20.427,0,0,1
126,21.098,3,0,0
127,21.371,0,0,1
128,21.448,0,0,1
129,21.261,5,0,0
130,21.286,0,0,1
131,21.724,0,0,1
132,21.424,0,0,1
133,20.718,0,0,1
134,21.140,0,0,1
135,20.744,0,0,1
136,20.599,0,0,1
137,21.290,0,0,1
138,21.631,0,0,1
139,21.830,0,0,1
140,21.817,0,0,1
141,21.251,0,0,1
142,21.669,0,0,1
143,21.895,0,0,1
144,22.418,0,0,1
145,22.445,0,0,1
146,22.492,0,0,1
147,22.492,0,0,1
148,22.460,1,0,0
149,22.232,0,0,1
150,21.370,0,0,1
151,21.442,0,0,1
152,21.358,0,0,1
153,21.497,0,0,1
154,21.818,0,0,1
155,21.637,0,0,1
156,21.271,4,0,0
157,21.721,0,0,1
158,21.094,0,0,1
159,21.341,0,0,1
160,21.844,1,0,0
161,21.858,0,0,1
162,21.777,0,0,1
163,21.914,0,0,1
164,21.559,0,0,1
165,21.166,0,0,1
166,21.353,0,0,1
167,21.228,0,0,1
168,21.360,0,0,1
169,21.126,0,0,1
170,21.059,0,0,1
171,21.054,0,0,1
172,21.076,0,0,1
173,21.126,0,0,1
174,21.208,0,0,1
175,21.137,0,0,1
176,21.093,5,0,0
177,21.089,3,0,0
178,21.175,0,0,1
179,21.607,0,0,1
180,21.559,0,0,1
181,21.681,0,0,1
182,21.122,0,0,1
183,21.063,0,0,1
184,21.082,0,0,1
185,21.259,0,0,1
186,21.203,0,0,1
187,21.207,0,0,1
188,20.549,0,0,1
189,20.436,0,0,1
190,20.456,4,0,0
191,20.418,0,0,1
192,20.456,4,0,0
193,20.516,0,0,1
194,20.907,5,0,0
195,21.274,0,0,1
196,21.194,0,0,1
197,20.770,0,0,1
198,20.585,0,0,1
199,20.567,0,0,1
200,20.448,0,0,1
201,20.461,5,0,0
202,20.499,0,0,1
203,20.527,5,0,0
204,20.566,0,0,1
205,21.128,0,0,1
206,20.483,0,0,1
207,20.745,0,0,1
208,20.425,0,0,1
209,20.400,0,0,1
210,20.463,0,0,1
211,20.719,0,0,1
212,20.428,0,0,1
213,20.508,0,0,1
214,21.082,0,0,1
215,21.202,0,0,1
216,21.111,0,0,1
217,21.032,4,0,0
218,21.504,0,0,1
219,21.637,0,0,1
220,21.186,0,0,1
221,20.763,0,0,1
222,20.812,0,0,1
223,21.220,0,0,1
224,20.723,0,0,1
225,20.941,0,0,1
226,21.081,0,0,1
227,21.713,0,0,1
228,21.703,0,0,1
229,21.622,0,0,1
230,20.599,0,0,1
231,20.534,3,0,0
232,20.502,0,0,1
233,20.542,0,0,1
234,21.071,0,0,1
235,21.201,0,0,1
236,21.259,0,0,1
237,21.075,0,0,1
238,20.814,0,0,1
239,20.544,0,0,1
240,20.547,0,0,1
241,20.526,0,0,1
242,20.501,0,0,1
243,20.824,0,0,1
244,20.388,0,0,1
245,20.525,0,0,1
246,20.399,0,0,1
247,20.362,4,0,0
248,20.897,0,0,1
249,21.234,3,0,0
250,21.543,0,0,1
251,21.460,0,0,1
252,21.421,0,0,1
253,22.724,0,0,1
254,22.589,0,0,1
255,22.178,1,0,0
256,21.443,0,0,1
257,21.379,0,0,1
258,21.645,0,0,1
259,21.734,0,0,1
260,21.265,0,0,1
261,21.304,0,0,1
262,21.208,0,0,1
263,21.206,0,0,1
264,21.326,0,0,1
265,21.207,0,0,1
266,21.228,0,0,1
267,21.193,0,0,1
268,21.877,0,0,1
269,21.899,0,0,1
270,21.904,0,0,1
271,21.863,0,0,1
272,21.871,0,0,1
273,21.871,0,0,1
274,21.862,0,0,1
275,21.905,4,0,0
276,22.670,0,0,1
277,22.044,0,0,1
278,22.038,4,0,0
279,22.190,0,0,1
280,22.860,0,0,1
281,22.851,0,0,1
282,22.731,0,0,1
283,23.406,0,0,1
284,23.113,0,0,1
285,22.905,0,0,1
286,22.770,0,0,1
287,23.278,0,0,1
288,23.275,0,0,1
289,22.744,5,0,0
290,22.739,0,0,1
291,23.034,0,0,1
292,22.807,0,0,1
293,23.014,0,0,1
294,23.183,0,0,1
295,23.098,0,0,1
296,23.236,0,0,1
297,35.150,4,0,0
298,23.091,0,0,1
299,22.936,0,0,1
300,23.319,1,0,0
301,23.657,0,0,1
302,23.119,0,0,1
303,23.309,0,0,1
304,23.280,0,0,1
305,23.386,0,0,1
306,23.510,0,0,1
307,23.122,0,0,1
308,23.640,5,0,0
309,23.464,0,0,1
310,23.515,0,0,1
311,23.870,0,0,1
312,24.141,0,0,1
313,23.881,0,0,1
314,23.085,0,0,1
315,23.078,0,0,1
316,23.210,0,0,1
317,21.317,5,0,0
318,21.215,0,0,1
319,21.187,0,0,1
320,20.526,0,0,1
321,20.537,0,0,1
322,20.627,4,0,0
323,20.749,0,0,1
324,20.519,0,0,1
325,20.499,0,0,1
326,20.444,0,0,1
327,20.446,0,0,1
328,20.431,0,0,1
329,20.475,0,0,1
330,20.477,0,0,1
331,20.547,0,0,1
332,20.557,0,0,1
333,20.550,0,0,1
334,20.458,0,0,1
335,20.488,0,0,1
336,20.479,0,0,1
337,20.616,0,0,1
338,20.466,0,0,1
339,20.448,0,0,1
340,20.426,0,0,1
341,21.343,0,0,1
342,21.433,0,0,1
343,21.942,0,0,1
344,21.338,0,0,1
345,21.446,5,0,0
346,21.312,0,0,1
347,21.331,0,0,1
348,21.511,0,0,1
349,21.973,0,0,1
350,21.373,0,0,1
351,21.369,0,0,1
352,21.357,0,0,1
353,20.797,0,0,1
354,20.738,0,0,1
355,20.632,0,0,1
356,20.522,5,0,0
357,20.510,3,0,0
358,20.477,0,0,1
359,20.535,0,0,1
360,20.692,0,0,1
361,20.526,0,0,1
362,20.560,0,0,1
363,20.445,0,0,1
364,20.563,0,0,1
365,20.580,0,0,1
366,20.468,0,0,1
367,21.734,0,0,1
368,21.707,0,0,1
369,21.283,0,0,1
370,21.212,0,0,1
371,21.141,0,0,1
372,20.660,0,0,1
373,20.702,0,0,1
374,21.220,0,0,1
375,21.282,0,0,1
376,21.177,0,0,1
377,21.157,4,0,0
378,21.170,0,0,1
379,21.061,0,0,1
380,21.506,0,0,1
381,21.652,4,0,0
382,21.366,0,0,1
383,21.420,0,0,1
384,21.246,0,0,1
385,21.418,0,0,1
386,21.439,0,0,1
387,21.310,5,0,0
388,21.396,0,0,1
389,21.407,0,0,1
390,21.783,0,0,1
391,21.311,0,0,1
392,21.506,0,0,1
393,21.213,0,0,1
394,21.262,1,0,0
395,21.294,0,0,1
396,21.528,4,0,0
397,21.312,0,0,1
398,21.344,0,0,1
399,21.332,0,0,1
400,21.339,5,0,0
401,21.280,0,0,1
402,21.197,0,0,1
403,21.230,4,0,0
404,21.234,0,0,1
405,21.196,0,0,1
406,21.257,0,0,1
407,21.345,0,0,1
408,21.268,0,0,1
409,21.322,0,0,1
410,21.300,0,0,1
411,21.212,3,0,0
412,21.195,0,0,1
413,21.231,0,0,1
414,21.855,0,0,1
415,21.222,0,0,1
416,21.293,0,0,1
417,21.272,0,0,1
418,21.196,0,0,1
419,21.226,0,0,1
420,21.224,0,0,1
421,21.190,0,0,1
422,21.289,0,0,1
423,21.197,0,0,1
424,21.201,0,0,1
425,21.096,5,0,0
426,20.666,0,0,1
427,20.613,0,0,1
428,20.626,0,0,1
429,20.565,0,0,1
430,20.546,4,0,0
431,20.508,0,0,1
432,20.581,5,0,0
433,20.522,5,0,0
434,20.534,0,0,1
435,20.536,0,0,1
436,20.664,0,0,1
437,20.613,0,0,1
438,21.270,0,0,1
439,20.677,0,0,1
440,20.648,0,0,1
441,20.513,0,0,1
442,20.515,0,0,1
443,20.702,0,0,1
444,20.607,0,0,1
445,20.619,0,0,1
446,20.668,3,0,0
447,20.618,0,0,1
448,20.596,0,0,1
449,20.624,0,0,1
450,20.516,0,0,1
451,20.513,0,0,1
452,20.529,5,0,0
453,20.506,0,0,1
454,20.582,0,0,1
455,20.638,0,0,1
456,20.616,0,0,1
457,20.653,0,0,1
458,20.530,0,0,1
459,20.569,0,0,1
460,20.626,0,0,1
461,20.580,0,0,1
462,21.159,0,0,1
463,20.554,0,0,1
464,20.637,5,0,0
465,20.752,0,0,1
466,20.585,0,0,1
467,20.529,0,0,1
468,20.516,0,0,1
469,20.565,0,0,1
470,20.590,0,0,1
471,20.569,5,0,0
472,20.542,0,0,1
473,20.601,0,0,1
474,20.602,0,0,1
475,20.810,0,0,1
476,21.152,0,0,1
477,21.453,0,0,1
478,21.891,4,0,0
479,21.899,0,0,1
480,21.819,0,0,1
481,21.915,0,0,1
482,21.763,0,0,1
483,21.254,0,0,1
484,21.275,0,0,1
485,22.286,0,0,1
486,21.650,0,0,1
487,20.801,0,0,1
488,20.876,0,0,1
489,20.705,0,0,1
490,21.006,0,0,1
491,21.839,0,0,1
492,21.732,0,0,1
493,21.411,4,0,0
494,21.404,5,0,0
495,21.395,0,0,1
496,21.456,0,0,1
497,36.013,0,0,1
498,21.612,0,0,1
499,21.379,0,0,1
500,21.319,0,0,1
501,21.341,0,0,1
502,21.464,0,0,1
503,21.532,5,0,0
504,21.770,0,0,1
505,21.333,0,0,1
506,21.349,0,0,1
507,21.504,3,0,0
508,22.156,0,0,1
509,21.540,0,0,1
510,21.322,0,0,1
511,21.341,0,0,1
512,21.603,0,0,1
513,21.599,0,0,1
514,21.649,3,0,0
515,21.465,0,0,1
516,21.246,0,0,1
517,21.265,0,0,1
518,21.152,0,0,1
519,21.347,0,0,1
520,21.313,0,0,1
521,21.289,0,0,1
522,21.384,0,0,1
523,21.729,0,0,1
524,21.624,0,0,1
525,21.198,0,0,1
526,21.168,0,0,1
527,21.423,0,0,1
528,21.496,0,0,1
529,21.365,5,0,0
530,21.445,0,0,1
531,21.359,0,0,1
532,22.043,0,0,1
533,21.290,5,0,0
534,21.307,5,0,0
535,21.309,0,0,1
536,21.371,0,0,1
537,21.274,0,0,1
538,21.495,0,0,1
539,21.370,0,0,1
540,21.426,0,0,1
541,21.298,5,0,0
542,20.779,0,0,1
543,20.564,0,0,1
544,20.716,0,0,1
545,20.546,0,0,1
546,20.728,0,0,1
547,20.729,0,0,1
548,20.606,0,0,1
549,20.887,0,0,1
550,20.774,0,0,1
551,20.856,0,0,1
552,20.743,0,0,1
553,20.786,0,0,1
554,20.847,0,0,1
555,21.152,0,0,1
556,24.219,0,0,1
557,24.214,0,0,1
558,24.214,0,0,1
559,24.223,4,0,0
560,24.213,0,0,1
561,24.281,0,0,1
562,24.227,0,0,1
563,24.227,0,0,1
564,24.224,0,0,1
565,24.226,0,0,1
566,24.226,0,0,1
567,24.225,4,0,0
568,24.228,0,0,1
569,24.256,0,0,1
570,24.231,0,0,1
571,24.243,0,0,1
572,24.220,0,0,1
573,24.224,0,0,1
574,24.239,0,0,1
575,24.252,0,0,1
576,23.376,0,0,1
577,20.815,0,0,1
578,21.048,0,0,1
579,20.647,0,0,1
580,20.695,0,0,1
581,20.727,0,0,1
582,20.899,0,0,1
583,20.768,0,0,1
584,20.826,0,0,1
585,20.770,0,0,1
586,20.810,5,0,0
587,20.696,0,0,1
588,20.650,5,0,0
589,20.718,0,0,1
590,20.559,0,0,1
591,21.098,0,0,1
592,21.329,0,0,1
593,20.755,0,0,1
594,20.654,0,0,1
595,20.779,0,0,1
596,21.682,0,0,1
597,21.639,0,0,1
598,21.271,0,0,1
