sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
0,0.049,1.502,1.274,0.061,0.091,0.110,1.661,0,0,1
1,0.123,1.293,1.169,0.030,0.073,0.059,1.475,0,0,1
2,0.035,1.275,1.162,0.029,0.071,0.030,1.341,1,0,1
4,0.029,1.273,1.160,0.027,0.071,0.076,1.378,0,0,1
5,0.037,1.271,1.158,0.028,0.071,0.027,1.334,0,0,1
6,0.027,1.297,1.181,0.028,0.071,0.038,1.363,0,0,1
7,0.036,1.301,1.184,0.026,0.071,0.029,1.366,0,0,1
8,0.028,1.304,1.185,0.027,0.072,0.035,1.368,0,0,1
9,0.033,1.279,1.163,0.028,0.072,0.026,1.338,0,0,1
10,0.028,1.272,1.159,0.028,0.071,0.034,1.333,0,0,1
11,0.029,1.315,1.186,0.028,0.071,0.047,1.391,1,0,1
13,0.045,1.329,1.194,0.026,0.073,0.041,1.415,0,0,1
14,0.038,1.327,1.201,0.029,0.070,0.039,1.404,0,0,1
15,0.033,1.278,1.163,0.027,0.071,0.028,1.339,0,0,1
16,0.027,1.271,1.159,0.027,0.071,0.031,1.329,0,0,1
17,0.030,1.299,1.182,0.028,0.071,0.029,1.357,0,0,1
18,0.028,1.314,1.184,0.028,0.072,0.043,1.384,0,0,1
19,0.041,1.316,1.194,0.026,0.069,0.028,1.386,0,0,1
20,0.032,1.311,1.185,0.025,0.071,0.040,1.383,1,0,1
22,0.037,1.302,1.177,0.027,0.071,0.036,1.376,0,0,1
23,0.032,1.277,1.163,0.027,0.071,0.026,1.335,0,0,1
24,0.027,1.272,1.160,0.028,0.071,0.032,1.331,0,0,1
25,0.030,1.339,1.214,0.033,0.072,0.032,1.401,0,0,1
26,0.034,1.276,1.161,0.027,0.071,0.066,1.376,0,0,1
27,0.032,1.270,1.159,0.026,0.071,0.025,1.326,0,0,1
28,0.027,1.274,1.160,0.029,0.070,0.065,1.366,0,0,1
29,0.032,1.269,1.159,0.026,0.071,0.024,1.326,0,0,1
30,0.027,1.299,1.184,0.027,0.071,0.063,1.390,0,0,1
31,0.031,1.309,1.191,0.027,0.071,0.028,1.368,0,0,1
32,0.028,1.278,1.163,0.026,0.071,0.043,1.349,1,0,1
35,0.032,1.272,1.159,0.027,0.071,0.025,1.328,0,0,1
36,0.027,1.272,1.160,0.026,0.071,0.107,1.407,0,0,1
37,0.072,1.375,1.215,0.042,0.081,0.046,1.493,0,0,1
38,0.057,1.332,1.181,0.039,0.081,0.038,1.428,2,0,1
40,0.062,1.328,1.175,0.040,0.084,0.037,1.427,1,0,1
42,0.053,1.322,1.175,0.039,0.081,0.035,1.410,0,0,1
43,0.054,1.332,1.180,0.039,0.083,0.041,1.427,0,0,1
44,0.050,1.338,1.182,0.040,0.083,0.036,1.425,0,0,1
45,0.053,1.324,1.174,0.040,0.083,0.036,1.413,0,0,1
46,0.049,1.433,1.254,0.056,0.084,0.042,1.524,0,0,1
47,0.064,1.373,1.212,0.040,0.082,0.041,1.478,0,0,1
48,0.052,1.332,1.180,0.038,0.082,0.035,1.419,1,0,1
50,0.051,1.333,1.180,0.043,0.082,0.052,1.436,0,0,1
51,0.056,1.370,1.208,0.044,0.082,0.042,1.468,0,0,1
52,0.056,1.375,1.214,0.039,0.082,0.065,1.496,0,0,1
53,0.052,1.377,1.214,0.042,0.082,0.044,1.473,0,0,1
54,0.054,1.373,1.213,0.040,0.081,0.059,1.486,0,0,1
55,0.057,1.340,1.182,0.042,0.084,0.034,1.431,0,0,1
56,0.058,1.328,1.175,0.041,0.083,0.055,1.440,0,0,1
57,0.057,1.327,1.176,0.042,0.083,0.036,1.420,0,0,1
58,0.051,1.395,1.215,0.056,0.095,0.078,1.524,0,0,1
59,0.057,1.306,1.172,0.036,0.072,0.036,1.399,0,0,1
60,0.064,1.299,1.169,0.033,0.073,0.052,1.415,0,0,1
61,0.062,1.329,1.167,0.066,0.073,0.070,1.461,2,0,1
63,0.035,1.302,1.166,0.035,0.075,0.034,1.372,0,0,1
64,0.074,1.326,1.166,0.061,0.073,0.071,1.470,0,0,1
65,0.036,1.328,1.167,0.063,0.073,0.033,1.396,0,0,1
66,0.077,1.326,1.167,0.063,0.073,0.070,1.473,0,0,1
67,0.036,1.326,1.166,0.065,0.073,0.033,1.395,0,0,1
68,0.078,1.327,1.166,0.064,0.073,0.071,1.475,0,0,1
69,0.037,1.327,1.165,0.063,0.073,0.033,1.396,0,0,1
70,0.068,1.329,1.167,0.063,0.073,0.069,1.466,0,0,1
71,0.041,1.327,1.166,0.065,0.073,0.034,1.402,0,0,1
72,0.079,1.324,1.166,0.063,0.073,0.071,1.473,0,0,1
73,0.039,1.325,1.165,0.065,0.073,0.037,1.402,0,0,1
74,0.077,1.324,1.165,0.063,0.073,0.071,1.472,0,0,1
75,0.036,1.327,1.165,0.066,0.072,0.033,1.396,1,0,1
78,0.077,1.329,1.167,0.066,0.073,0.073,1.479,0,0,1
79,0.036,1.333,1.168,0.066,0.073,0.033,1.402,0,0,1
80,0.076,1.339,1.166,0.068,0.079,0.071,1.486,0,0,1
81,0.038,1.327,1.167,0.065,0.073,0.034,1.399,0,0,1
82,0.077,1.325,1.165,0.066,0.073,0.071,1.473,0,0,1
83,0.038,1.334,1.166,0.072,0.073,0.037,1.409,0,0,1
84,0.081,1.331,1.168,0.067,0.073,0.070,1.481,0,0,1
85,0.036,1.346,1.164,0.087,0.073,0.034,1.416,0,0,1
86,0.076,1.331,1.166,0.068,0.073,0.070,1.476,0,0,1
87,0.036,1.327,1.165,0.066,0.073,0.033,1.396,0,0,1
88,0.077,1.298,1.166,0.036,0.074,0.071,1.446,0,0,1
89,0.077,1.348,1.165,0.083,0.075,0.070,1.495,1,0,1
91,0.035,1.331,1.166,0.065,0.073,0.033,1.399,0,0,1
92,0.076,1.329,1.164,0.066,0.073,0.068,1.473,0,0,1
93,0.035,1.330,1.166,0.066,0.073,0.034,1.400,0,0,1
94,0.076,1.329,1.165,0.066,0.073,0.069,1.474,0,0,1
95,0.035,1.319,1.178,0.047,0.073,0.034,1.388,0,0,1
96,0.094,1.292,1.165,0.033,0.072,0.064,1.451,0,0,1
97,0.035,1.285,1.164,0.028,0.070,0.035,1.355,0,0,1
98,0.066,1.290,1.166,0.029,0.071,0.050,1.405,0,0,1
99,0.036,1.288,1.166,0.029,0.071,0.034,1.358,0,0,1
100,0.059,1.287,1.165,0.029,0.071,0.066,1.412,0,0,1
101,0.059,1.287,1.165,0.029,0.071,0.049,1.395,1,0,1
103,0.036,1.296,1.167,0.029,0.071,0.033,1.365,0,0,1
104,0.058,1.290,1.167,0.029,0.071,0.048,1.396,0,0,1
