sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
0,0.057,0.653,0.313,0.042,0.190,0.063,0.774,0,0,1
1,0.063,0.492,0.239,0.027,0.185,0.156,0.712,0,0,1
2,0.025,0.458,0.234,0.027,0.184,0.100,0.582,4,0,1
4,0.028,0.471,0.236,0.028,0.193,0.041,0.540,0,0,1
5,0.029,0.454,0.234,0.025,0.183,0.025,0.508,6,0,1
7,0.025,0.454,0.234,0.024,0.184,0.098,0.577,0,0,1
8,0.029,0.453,0.233,0.025,0.183,0.032,0.515,0,0,1
9,0.025,0.452,0.232,0.024,0.183,0.070,0.546,0,0,1
10,0.029,0.454,0.233,0.025,0.184,0.034,0.517,0,0,1
11,0.024,0.456,0.232,0.027,0.184,0.083,0.563,0,0,1
12,0.053,0.455,0.234,0.025,0.184,0.033,0.541,0,0,1
13,0.025,0.454,0.234,0.025,0.183,0.086,0.565,0,0,1
14,0.029,0.454,0.234,0.025,0.183,0.031,0.514,0,0,1
15,0.024,0.454,0.233,0.025,0.183,0.098,0.576,0,0,1
16,0.028,0.453,0.233,0.024,0.183,0.024,0.505,0,0,1
17,0.028,0.453,0.234,0.024,0.183,0.030,0.512,5,0,1
21,0.030,0.454,0.233,0.024,0.183,0.024,0.507,4,0,1
25,0.027,0.459,0.235,0.028,0.185,0.083,0.569,0,0,1
26,0.024,0.452,0.233,0.024,0.183,0.068,0.544,4,0,1
28,0.027,0.453,0.234,0.025,0.183,0.024,0.504,0,0,1
29,0.024,0.451,0.232,0.025,0.183,0.117,0.592,0,0,1
30,0.028,0.453,0.234,0.025,0.183,0.024,0.505,0,0,1
31,0.047,0.467,0.234,0.025,0.185,0.049,0.564,0,0,1
32,0.024,0.454,0.234,0.025,0.183,0.097,0.575,4,0,1
34,0.028,0.456,0.233,0.026,0.185,0.024,0.508,0,0,1
35,0.024,0.452,0.232,0.025,0.184,0.084,0.559,0,0,1
36,0.025,0.454,0.234,0.025,0.183,0.068,0.546,5,0,1
38,0.025,0.455,0.233,0.025,0.186,0.068,0.548,6,0,1
40,0.028,0.452,0.233,0.024,0.183,0.024,0.504,0,0,1
41,0.025,0.453,0.232,0.025,0.184,0.084,0.562,4,0,1
44,0.027,0.453,0.233,0.025,0.183,0.024,0.505,0,0,1
45,0.023,0.629,0.234,0.026,0.184,0.069,0.721,0,0,1
46,0.030,0.455,0.234,0.025,0.183,0.025,0.509,0,0,1
47,0.025,0.453,0.233,0.025,0.183,0.098,0.576,0,0,1
48,0.024,0.452,0.232,0.025,0.183,0.068,0.545,4,0,1
50,0.028,0.453,0.233,0.025,0.184,0.024,0.506,0,0,1
51,0.025,0.453,0.232,0.025,0.183,0.114,0.592,0,0,1
52,0.034,0.483,0.235,0.026,0.185,0.040,0.557,0,0,1
53,0.026,0.457,0.235,0.025,0.184,0.100,0.583,0,0,1
54,0.029,0.455,0.234,0.025,0.183,0.024,0.508,0,0,1
55,0.024,0.452,0.232,0.025,0.183,0.084,0.559,0,0,1
56,0.028,0.456,0.235,0.024,0.183,0.024,0.508,0,0,1
57,0.024,0.451,0.232,0.025,0.183,0.067,0.543,0,0,1
58,0.028,0.454,0.233,0.025,0.183,0.032,0.513,0,0,1
59,0.025,0.454,0.234,0.025,0.183,0.067,0.547,4,0,1
62,0.024,0.455,0.233,0.024,0.186,0.069,0.547,6,0,1
64,0.030,0.455,0.235,0.025,0.183,0.024,0.509,4,0,1
67,0.024,0.454,0.234,0.025,0.183,0.098,0.576,0,0,1
68,0.027,0.459,0.235,0.027,0.186,0.024,0.510,0,0,1
69,0.024,0.453,0.233,0.025,0.183,0.099,0.576,0,0,1
70,0.028,0.453,0.234,0.024,0.183,0.024,0.505,0,0,1
71,0.024,0.454,0.234,0.025,0.183,0.067,0.545,0,0,1
72,0.027,0.454,0.234,0.024,0.183,0.036,0.517,0,0,1
73,0.026,0.481,0.233,0.027,0.183,0.070,0.577,0,0,1
74,0.053,0.459,0.235,0.025,0.184,0.025,0.536,0,0,1
75,0.057,0.453,0.232,0.025,0.183,0.025,0.534,4,0,1
77,0.025,0.452,0.232,0.025,0.183,0.099,0.577,0,0,1
78,0.028,0.453,0.233,0.025,0.183,0.024,0.505,0,0,1
79,0.044,0.473,0.235,0.038,0.185,0.046,0.562,0,0,1
80,0.048,0.461,0.235,0.025,0.189,0.035,0.545,0,0,1
