sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
0,0.063,1.213,0.938,0.044,0.126,0.095,1.371,0,0,1
1,0.137,1.074,0.822,0.036,0.193,0.158,1.370,0,0,1
2,0.075,1.072,0.868,0.053,0.129,0.043,1.190,0,0,1
3,0.103,1.057,0.862,0.046,0.128,0.046,1.205,0,0,1
4,0.140,0.997,0.818,0.037,0.125,0.065,1.202,0,0,1
5,0.075,1.001,0.818,0.040,0.126,0.042,1.118,0,0,1
6,0.103,1.014,0.829,0.039,0.127,0.043,1.159,0,0,1
7,0.102,1.061,0.863,0.048,0.129,0.040,1.203,0,0,1
8,0.077,1.030,0.820,0.068,0.125,0.042,1.148,4,0,1
10,0.130,1.028,0.820,0.069,0.124,0.099,1.257,0,0,1
11,0.108,1.038,0.827,0.068,0.127,0.042,1.188,0,0,1
12,0.103,1.030,0.819,0.069,0.125,0.101,1.233,0,0,1
13,0.107,1.027,0.818,0.069,0.125,0.051,1.185,0,0,1
14,0.131,1.055,0.820,0.069,0.125,0.106,1.292,0,0,1
15,0.130,1.026,0.822,0.038,0.123,0.039,1.195,0,0,1
16,0.102,1.032,0.821,0.069,0.125,0.100,1.234,0,0,1
17,0.108,1.036,0.828,0.041,0.126,0.083,1.227,0,0,1
18,0.134,1.032,0.821,0.069,0.124,0.095,1.261,0,0,1
19,0.133,1.029,0.819,0.069,0.125,0.079,1.241,0,0,1
20,0.106,1.023,0.820,0.038,0.124,0.098,1.228,0,0,1
21,0.113,1.033,0.822,0.068,0.125,0.081,1.227,0,0,1
22,0.115,1.027,0.818,0.069,0.125,0.095,1.237,0,0,1
23,0.108,1.022,0.819,0.038,0.124,0.082,1.213,0,0,1
24,0.119,1.032,0.823,0.067,0.125,0.129,1.280,0,0,1
25,0.108,1.027,0.818,0.068,0.125,0.080,1.215,0,0,1
26,0.115,1.035,0.818,0.041,0.130,0.121,1.271,0,0,1
27,0.110,1.037,0.824,0.069,0.125,0.077,1.224,0,0,1
28,0.116,1.031,0.820,0.070,0.125,0.129,1.276,0,0,1
29,0.107,1.025,0.820,0.038,0.126,0.083,1.214,0,0,1
30,0.110,0.995,0.820,0.032,0.126,0.077,1.182,4,0,1
32,0.101,1.005,0.824,0.038,0.127,0.070,1.176,0,0,1
33,0.109,1.032,0.822,0.068,0.125,0.080,1.221,0,0,1
34,0.138,1.029,0.818,0.071,0.125,0.096,1.263,0,0,1
35,0.112,1.013,0.821,0.051,0.125,0.042,1.167,0,0,1
36,0.147,0.999,0.819,0.040,0.124,0.131,1.277,0,0,1
37,0.132,1.030,0.818,0.070,0.125,0.079,1.241,0,0,1
38,0.104,0.994,0.818,0.033,0.125,0.081,1.178,0,0,1
39,0.053,0.993,0.819,0.033,0.124,0.078,1.123,0,0,1
40,0.083,1.030,0.820,0.069,0.125,0.095,1.208,0,0,1
41,0.109,1.034,0.822,0.068,0.128,0.077,1.220,0,0,1
42,0.061,1.030,0.820,0.069,0.124,0.077,1.167,0,0,1
43,0.108,1.024,0.818,0.065,0.124,0.077,1.209,0,0,1
44,0.131,1.030,0.820,0.069,0.124,0.077,1.238,0,0,1
45,0.037,1.052,0.819,0.067,0.124,0.084,1.173,0,0,1
46,0.089,1.024,0.823,0.033,0.124,0.075,1.188,0,0,1
47,0.033,1.063,0.822,0.074,0.124,0.068,1.164,0,0,1
48,0.132,1.056,0.823,0.068,0.122,0.108,1.296,0,0,1
49,0.068,1.057,0.823,0.068,0.124,0.077,1.202,0,0,1
50,0.118,1.054,0.821,0.066,0.124,0.075,1.247,0,0,1
51,0.065,1.054,0.821,0.068,0.123,0.048,1.167,0,0,1
52,0.118,1.056,0.822,0.068,0.122,0.041,1.214,0,0,1
53,0.064,1.055,0.823,0.067,0.123,0.042,1.162,0,0,1
54,0.117,1.057,0.821,0.069,0.124,0.079,1.253,0,0,1
55,0.067,1.060,0.821,0.071,0.125,0.040,1.167,0,0,1
56,0.133,1.054,0.821,0.067,0.125,0.078,1.266,0,0,1
