sample_id,h2d_ms,kernel_ms,k1_ms,k2_ms,k3_ms,d2h_ms,total_ms,predicted,actual,correct
0,0.055,2.148,1.951,0.038,0.055,0.087,2.290,1,1,1
1,0.045,1.941,1.823,0.037,0.056,0.071,2.056,0,0,1
2,0.050,1.921,1.800,0.036,0.056,0.087,2.059,1,1,1
3,0.043,1.911,1.799,0.033,0.057,0.038,1.992,1,1,1
4,0.049,1.903,1.797,0.030,0.055,0.088,2.041,1,1,1
5,0.041,1.936,1.799,0.031,0.055,0.040,2.017,1,1,1
6,0.046,1.942,1.827,0.033,0.058,0.086,2.074,0,0,1
7,0.045,1.986,1.844,0.032,0.057,0.064,2.095,1,1,1
8,0.049,1.953,1.832,0.033,0.056,0.113,2.115,0,0,1
9,0.048,1.996,1.850,0.034,0.057,0.066,2.111,1,1,1
10,0.048,1.951,1.833,0.034,0.056,0.127,2.125,1,1,1
11,0.047,1.987,1.847,0.032,0.054,0.056,2.090,1,1,1
12,0.045,1.939,1.825,0.031,0.054,0.095,2.079,0,0,1
13,0.048,1.988,1.850,0.028,0.054,0.057,2.093,1,1,1
14,0.049,1.982,1.834,0.031,0.056,0.113,2.144,0,0,1
15,0.056,1.982,1.832,0.036,0.056,0.057,2.094,0,0,1
16,0.045,1.937,1.807,0.035,0.061,0.068,2.050,1,1,1
17,0.056,1.977,1.855,0.034,0.056,0.052,2.085,0,0,1
18,0.043,1.970,1.828,0.035,0.057,0.084,2.098,0,0,1
19,0.040,1.974,1.860,0.034,0.057,0.064,2.078,1,1,1
20,0.044,1.950,1.828,0.036,0.057,0.096,2.090,1,1,1
21,0.042,2.023,1.883,0.053,0.059,0.054,2.120,1,1,1
22,0.046,1.974,1.822,0.031,0.055,0.099,2.120,1,1,1
23,0.047,1.980,1.859,0.031,0.055,0.075,2.103,0,0,1
24,0.049,1.950,1.830,0.031,0.056,0.114,2.114,1,1,1
25,0.043,1.967,1.858,0.027,0.055,0.080,2.090,0,0,1
26,0.046,1.964,1.828,0.053,0.056,0.056,2.065,0,0,1
27,0.042,2.019,1.876,0.063,0.055,0.085,2.147,0,0,1
28,0.064,1.969,1.828,0.054,0.060,0.083,2.116,0,0,1
29,0.045,1.981,1.848,0.053,0.056,0.059,2.086,0,0,1
30,0.056,1.959,1.828,0.052,0.054,0.086,2.101,0,0,1
31,0.062,1.983,1.848,0.056,0.055,0.062,2.107,0,0,1
32,0.061,1.967,1.827,0.051,0.056,0.140,2.169,0,0,1
33,0.062,2.000,1.864,0.053,0.055,0.087,2.149,0,0,1
34,0.059,1.963,1.831,0.052,0.054,0.117,2.139,0,0,1
35,0.067,1.985,1.849,0.046,0.061,0.066,2.118,1,1,1
36,0.079,1.972,1.833,0.054,0.056,0.125,2.176,0,0,1
37,0.065,1.967,1.828,0.058,0.057,0.055,2.087,1,1,1
38,0.057,1.915,1.801,0.033,0.056,0.077,2.049,1,1,1
39,0.058,1.995,1.862,0.053,0.056,0.078,2.131,0,0,1
40,0.067,1.976,1.842,0.054,0.056,0.117,2.160,1,1,1
41,0.062,1.955,1.844,0.030,0.055,0.054,2.070,0,0,1
42,0.060,1.977,1.841,0.054,0.056,0.064,2.101,1,1,1
43,0.058,1.967,1.854,0.028,0.056,0.070,2.095,1,1,1
44,0.061,1.976,1.831,0.053,0.056,0.121,2.158,0,0,1
45,0.065,2.015,1.873,0.055,0.054,0.087,2.166,0,0,1
46,0.061,1.971,1.834,0.054,0.056,0.132,2.164,1,1,1
47,0.064,1.977,1.859,0.036,0.057,0.056,2.097,1,1,1
48,0.055,1.962,1.829,0.054,0.056,0.055,2.072,1,0,1
50,0.062,1.960,1.828,0.052,0.055,0.071,2.093,0,0,1
51,0.050,1.978,1.848,0.052,0.054,0.055,2.084,0,0,1
52,0.058,1.931,1.822,0.029,0.056,0.052,2.042,1,1,1
53,0.058,2.003,1.864,0.053,0.054,0.062,2.122,1,1,1
54,0.040,1.957,1.834,0.040,0.057,0.060,2.057,1,1,1
55,0.069,1.979,1.825,0.062,0.062,0.073,2.121,0,0,1
56,0.055,1.942,1.810,0.039,0.061,0.083,2.080,1,1,1
57,0.081,1.970,1.802,0.071,0.061,0.075,2.126,1,1,1
58,0.060,1.988,1.809,0.078,0.063,0.086,2.134,0,0,1
59,0.078,1.971,1.804,0.068,0.060,0.070,2.119,1,1,1
