Algorithm,Variant,Dataset,Num_Samples,Correct,Accuracy_Pct,Throughput_InfPerSec,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Latency_Std_ms,H2D_Mean_ms,Kernel_Mean_ms,K1_Mean_ms,K2_Mean_ms,K3_Mean_ms,D2H_Mean_ms,Has_PerSample,Source_Log
MiniRocket,fused_1cu,GunPoint,60,59,98.33,3797.1,0.388,0.361,0.482,0.812,0.311,0.995,0.100,0.059,0.264,0.145,0.030,0.067,0.066,yes,minirocket_modular/fused_gunpoint_test.log
MiniRocket,fused_1cu,InsectSound,25000,18530,74.12,1966.8,0.630,0.619,0.763,0.823,0.504,2.515,0.072,0.058,0.510,0.248,0.042,0.195,0.063,yes,minirocket_modular/fused_insectsound_test.log
MiniRocket,fused_1cu,MosquitoSound,6000,5273,87.88,937.0,1.214,1.206,1.357,1.441,1.041,4.097,0.089,0.069,1.067,0.853,0.043,0.140,0.079,yes,minirocket_modular/fused_mosquitosound_test.log
MiniRocket,fused_1cu,FruitFlies,17259,16538,95.82,742.3,1.491,1.488,1.607,1.655,1.311,3.156,0.071,0.071,1.348,1.193,0.044,0.082,0.072,yes,minirocket_modular/fused_fruitflies_test.log
MiniRocket,fused_2cu,GunPoint,60,59,98.33,5999.1,0.167,,,,,,,,,,,,,no,minirocket_modular/fused_2cu_gunpoint_test.log
MiniRocket,fused_2cu,InsectSound,25000,18530,74.12,3191.1,0.313,,,,,,,,,,,,,no,minirocket_modular/fused_2cu_insectsound_test.log
MiniRocket,fused_2cu,MosquitoSound,6000,5273,87.88,1496.9,0.668,,,,,,,,,,,,,no,minirocket_modular/fused_2cu_mosquitosound_test.log
MiniRocket,fused_2cu,FruitFlies,17259,16538,95.82,1121.4,0.892,,,,,,,,,,,,,no,minirocket_modular/fused_2cu_fruitflies_test.log
MiniRocket,fused_3cu,GunPoint,60,59,98.33,9585.0,0.104,,,,,,,,,,,,,no,minirocket_modular/fused_3cu_gunpoint_test.log
MiniRocket,fused_3cu,InsectSound,25000,18530,74.12,5012.2,0.200,,,,,,,,,,,,,no,minirocket_modular/fused_3cu_insectsound_test.log
MiniRocket,fused_3cu,MosquitoSound,6000,5273,87.88,2819.6,0.355,,,,,,,,,,,,,no,minirocket_modular/fused_3cu_mosquitosound_test.log
MiniRocket,fused_3cu,FruitFlies,17259,16538,95.82,2190.7,0.456,,,,,,,,,,,,,no,minirocket_modular/fused_3cu_fruitflies_test.log
HYDRA,v1_float,GunPoint,14,2,14.29,786.3,1.272,1.276,1.328,1.362,1.235,1.370,0.036,0.000,1.272,0.000,0.000,0.000,0.000,yes,hydra_optimized/hydra_hw_test.log
HYDRA,v2_apfixed,InsectSound,109,78,71.56,237.1,4.218,4.211,4.303,4.313,4.147,4.315,0.036,0.000,4.218,0.000,0.000,0.000,0.000,yes,hydra_optimized/fused_insectsound_test.log
MiniRocket,v16_fixed_1cu,GunPoint,60,59,98.33,507.5,2.104,2.098,2.166,2.224,1.992,2.290,0.045,0.054,1.971,1.837,0.044,0.056,0.079,yes,minirocket_modular/v16_fixed_hw_test.log
MiniRocket,CPU_python,InsectSound,25000,19710,78.84,519.9,0.000,,,,,,,,,,,,,no,cpu/minirocket_cpu_insectsound.log
MiniRocket,CPU_python,FruitFlies,17259,16737,96.98,39.4,0.000,,,,,,,,,,,,,no,cpu/minirocket_cpu_fruitflies.log
MiniRocket,CPU_python,MosquitoSound,139786,122432,87.59,82.1,0.000,,,,,,,,,,,,,no,cpu/minirocket_cpu_mosquitosound.log
MiniRocket,CPU_cpp,InsectSound,25000,18529,74.12,288.9,3.461,3.399,3.909,4.005,3.292,12.301,0.174,,,,,,,yes,results/MiniRocket_CPU_cpp_InsectSound_per_sample.csv
MiniRocket,CPU_cpp,FruitFlies,17259,16539,95.83,258.2,3.874,3.916,4.281,4.514,3.489,26.959,0.272,,,,,,,yes,results/MiniRocket_CPU_cpp_FruitFlies_per_sample.csv
MiniRocket,CPU_cpp,MosquitoSound,6000,5272,87.87,48.0,20.835,20.588,22.099,24.224,19.659,42.147,1.291,,,,,,,yes,results/MiniRocket_CPU_cpp_MosquitoSound_per_sample.csv
