dataset,cu_count,test_samples,correct,accuracy_pct,throughput_inf_s,avg_latency_ms,python_accuracy_pct
GunPoint,1,60,59,98.33,3797.1,0.387,98.33
InsectSound,1,25000,18530,74.12,1966.8,0.628,74.12
MosquitoSound,1,6000,5273,87.88,937.0,1.214,N/A
FruitFlies,1,17259,16538,95.82,742.3,1.490,95.83
GunPoint,2,60,59,98.33,5999.1,0.167,98.33
InsectSound,2,25000,18530,74.12,3191.1,0.313,74.12
MosquitoSound,2,6000,5273,87.88,1496.9,0.668,N/A
FruitFlies,2,17259,16538,95.82,1121.4,0.892,95.83
GunPoint,3,60,59,98.33,9585.0,0.104,98.33
InsectSound,3,25000,18530,74.12,5012.2,0.200,74.12
MosquitoSound,3,6000,5273,87.88,2819.6,0.355,N/A
FruitFlies,3,17259,16538,95.82,2190.7,0.456,95.83
