seq,t_send_ns,t_recv_ns,rtt_us
0,3996878960907,3996879011000,50.093
1,3996879012238,3996879062738,50.5
2,3996879063833,3996879114140,50.307
3,3996879115165,3996879165353,50.188
4,3996879166259,3996879216421,50.162
5,3996879217523,3996879268317,50.794
6,3996879269210,3996879320877,51.667
7,3996879321755,3996879372356,50.601
8,3996879373195,3996879423582,50.387
9,3996879424559,3996879475126,50.567
10,3996879475993,3996879525835,49.842
11,3996879526666,3996879576887,50.221
12,3996879577737,3996879627740,50.003
13,3996879628591,3996879770211,141.62
14,3996879771110,3996879823046,51.936
15,3996879826378,3996879877541,51.163
16,3996879878394,3996879928789,50.395
17,3996879929819,3996879982933,53.114
18,3996879983925,3996880036017,52.092
19,3996880036986,3996880088061,51.075
20,3996880088934,3996880139259,50.325
21,3996880140116,3996880190597,50.481
22,3996880191460,3996880242150,50.69
23,3996880243007,3996880292963,49.956
24,3996880293827,3996880345146,51.319
25,3996880346196,3996880396446,50.25
26,3996880397317,3996880447475,50.158
27,3996880448338,3996880498741,50.403
28,3996880499616,3996880549907,50.291
29,3996880550767,3996880601739,50.972
30,3996880602600,3996880659382,56.782
31,3996880660232,3996880712010,51.778
32,3996880712952,3996880763430,50.478
33,3996880764446,3996880814798,50.352
34,3996880815650,3996880865898,50.248
35,3996880866735,3996880916803,50.068
36,3996880917694,3996880968239,50.545
37,3996880969081,3996881019460,50.379
38,3996881020315,3996881070795,50.48
39,3996881071639,3996881122352,50.713
40,3996881123207,3996881173690,50.483
41,3996881176544,3996881227844,51.3
42,3996881228768,3996881278308,49.54
43,3996881279152,3996881329304,50.152
44,3996881330174,3996881380668,50.494
45,3996881381525,3996881529686,148.161
46,3996881530576,3996881581928,51.352
47,3996881582790,3996881634020,51.23
48,3996881634941,3996881684838,49.897
49,3996881685697,3996881736677,50.98
50,3996881737542,3996881788212,50.67
51,3996881789103,3996881839183,50.08
52,3996881840052,3996881891432,51.38
53,3996881892456,3996881943811,51.355
54,3996881944680,3996881995873,51.193
55,3996881996735,3996882046966,50.231
56,3996882047837,3996882098208,50.371
57,3996882099065,3996882150187,51.122
58,3996882151039,3996882201310,50.271
59,3996882202214,3996882254322,52.108
60,3996882255197,3996882305811,50.614
61,3996882306670,3996882357417,50.747
62,3996882358271,3996882408490,50.219
63,3996882409355,3996882460135,50.78
64,3996882461010,3996882511216,50.206
65,3996882512252,3996882562709,50.457
66,3996882563641,3996882614416,50.775
67,3996882615360,3996882665340,49.98
68,3996882666245,3996882716537,50.292
69,3996882717396,3996882768579,51.183
70,3996882769427,3996882820110,50.683
71,3996882821024,3996882872561,51.537
72,3996882873414,3996882923737,50.323
73,3996882924606,3996882974924,50.318
74,3996882975792,3996883026374,50.582
75,3996883027244,3996883077381,50.137
76,3996883078236,3996883130185,51.949
77,3996883131244,3996883272823,141.579
78,3996883273688,3996883325280,51.592
79,3996883326139,3996883377213,51.074
80,3996883378083,3996883428105,50.022
81,3996883429021,3996883478975,49.954
82,3996883479844,3996883530411,50.567
83,3996883531269,3996883581591,50.322
84,3996883582457,3996883633430,50.973
85,3996883634278,3996883684528,50.25
86,3996883685392,3996883736090,50.698
87,3996883736952,3996883805055,68.103
88,3996883807450,3996883872317,64.867
89,3996883873170,3996883923794,50.624
90,3996883924666,3996883974756,50.09
91,3996883975632,3996884030489,54.857
92,3996884031432,3996884082355,50.923
93,3996884083531,3996884135366,51.835
94,3996884136223,3996884186073,49.85
95,3996884186930,3996884237409,50.479
96,3996884238250,3996884288627,50.377
97,3996884289482,3996884339887,50.405
98,3996884340724,3996884391236,50.512
99,3996884392090,3996884442377,50.287
100,3996884443228,3996884493999,50.771
101,3996884494861,3996884546518,51.657
102,3996884550587,3996884601991,51.404
103,3996884602843,3996884661573,58.73
104,3996884662424,3996884712996,50.572
105,3996884713843,3996884764880,51.037
106,3996884765738,3996884815863,50.125
107,3996884816718,3996884867324,50.606
108,3996884868168,3996884919340,51.172
109,3996884920388,3996885071965,151.577
110,3996885072832,3996885124906,52.074
111,3996885125756,3996885176173,50.417
112,3996885177023,3996885227110,50.087
113,3996885227961,3996885278547,50.586
114,3996885279406,3996885328915,49.509
115,3996885329764,3996885380049,50.285
116,3996885380904,3996885431826,50.922
117,3996885434493,3996885484663,50.17
118,3996885485572,3996885536766,51.194
119,3996885537619,3996885587911,50.292
120,3996885588780,3996885638659,49.879
121,3996885639493,3996885689574,50.081
122,3996885690442,3996885740336,49.894
123,3996885741205,3996885792169,50.964
124,3996885793022,3996885843207,50.185
125,3996885844067,3996885894636,50.569
126,3996885895479,3996885951552,56.073
127,3996885953913,3996886019842,65.929
128,3996886020693,3996886071177,50.484
129,3996886072251,3996886123322,51.071
130,3996886124170,3996886174142,49.972
131,3996886175002,3996886225382,50.38
132,3996886226237,3996886276912,50.675
133,3996886277779,3996886327920,50.141
134,3996886328771,3996886379236,50.465
135,3996886380089,3996886430573,50.484
136,3996886431428,3996886481420,49.992
137,3996886482275,3996886533488,51.213
138,3996886534339,3996886584392,50.053
139,3996886585245,3996886636389,51.144
140,3996886637254,3996886688859,51.605
141,3996886689720,3996886826147,136.427
142,3996886827000,3996886878669,51.669
143,3996886879510,3996886930225,50.715
144,3996886931085,3996886980716,49.631
145,3996886983297,3996887034992,51.695
146,3996887035853,3996887086218,50.365
147,3996887087122,3996887137811,50.689
148,3996887138670,3996887190078,51.408
149,3996887191068,3996887241371,50.303
150,3996887242227,3996887293936,51.709
151,3996887294783,3996887344574,49.791
152,3996887345417,3996887395750,50.333
153,3996887396596,3996887446868,50.272
154,3996887447730,3996887497978,50.248
155,3996887498818,3996887550246,51.428
156,3996887551095,3996887601392,50.297
157,3996887602238,3996887653144,50.906
158,3996887654012,3996887705464,51.452
159,3996887706362,3996887756650,50.288
160,3996887757514,3996887808113,50.599
161,3996887808950,3996887858259,49.309
162,3996887859110,3996887909472,50.362
163,3996887910322,3996887961221,50.899
164,3996887962123,3996888017512,55.389
165,3996888018496,3996888070610,52.114
166,3996888071467,3996888122188,50.721
167,3996888123035,3996888174124,51.089
168,3996888176858,3996888228313,51.455
169,3996888229163,3996888279577,50.414
170,3996888280433,3996888331426,50.993
171,3996888332274,3996888382637,50.363
172,3996888383477,3996888435636,52.159
173,3996888436588,3996888599375,162.787
174,3996888600236,3996888660368,60.132
175,3996888661214,3996888711985,50.771
176,3996888712846,3996888762667,49.821
177,3996888763530,3996888814754,51.224
178,3996888815634,3996888871089,55.455
179,3996888873446,3996888939512,66.066
180,3996888940372,3996888990493,50.121
181,3996888991340,3996889041927,50.587
182,3996889042790,3996889093229,50.439
183,3996889094063,3996889144653,50.59
184,3996889145506,3996889196504,50.998
185,3996889197355,3996889247675,50.32
186,3996889248529,3996889299863,51.334
187,3996889300784,3996889353813,53.029
188,3996889354721,3996889405927,51.206
189,3996889406780,3996889458061,51.281
190,3996889458911,3996889508982,50.071
191,3996889509881,3996889560056,50.175
192,3996889560906,3996889611120,50.214
193,3996889611977,3996889662281,50.304
194,3996889663138,3996889713820,50.682
195,3996889714670,3996889764821,50.151
196,3996889765677,3996889816819,51.142
197,3996889817683,3996889867946,50.263
198,3996889868803,3996889919882,51.079
199,3996889920730,3996889971273,50.543
200,3996889972131,3996890022585,50.454
201,3996890023533,3996890074471,50.938
202,3996890075316,3996890125570,50.254
203,3996890126439,3996890177145,50.706
204,3996890177984,3996890228994,51.01
205,3996890229847,3996890367923,138.076
206,3996890368765,3996890420189,51.424
207,3996890421155,3996890472136,50.981
208,3996890473098,3996890523058,49.96
209,3996890523986,3996890574808,50.822
210,3996890575683,3996890626494,50.811
211,3996890627348,3996890678120,50.772
212,3996890678981,3996890730384,51.403
213,3996890731234,3996890781678,50.444
214,3996890782524,3996890832938,50.414
215,3996890833811,3996890883784,49.973
