target_pps,sent,recv_acks,achieved_pps,loss_pct,bps
50000,100001,100001,50000.5,0,2.56003e+07
90082.4,180182,180182,90091,0,4.61266e+07
162297,324624,324084,162312,0.166346,8.31037e+07
292402,584968,584817,292484,0.0258134,1.49752e+08
526805,1053742,687188,526871,34.7859,2.69758e+08
949118,1354227,687024,677114,49.2682,3.46682e+08
1.70998e+06,1356544,688053,678272,49.279,3.47275e+08
3.08078e+06,1350084,689426,675042,48.9346,3.45622e+08
5.55047e+06,1352419,688763,676210,49.0718,3.46219e+08
1e+07,1352350,688695,676175,49.0742,3.46202e+08
