variant,dataset,configured_pps,sent,duration_s,processed_pkts,processed_pps,loss_pct,bandwidth_kbps
cpu-hydra,InsectSound,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-hydra,InsectSound,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-hydra,InsectSound,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-hydra,InsectSound,5000.0,15001,3.0,15001,5000.333333333333,0.0,2560.1706666666664
cpu-hydra,InsectSound,10000.0,30001,3.0,30001,10000.333333333334,0.0,5120.170666666667
cpu-hydra,InsectSound,25000.0,75001,3.0,69384,23128.0,7.4892334768869695,11841.536
cpu-hydra,InsectSound,50000.0,150001,3.0,120096,40032.0,19.93653375644162,20496.384
cpu-hydra,InsectSound,100000.0,300001,3.0,210239,70079.66666666667,29.92056693144356,35880.789333333334
cpu-hydra,InsectSound,250000.0,749999,3.0,316478,105492.66666666667,57.80287707050276,54012.24533333333
cpu-hydra,InsectSound,500000.0,916007,3.0,332473,110824.33333333333,63.70409833112629,56742.058666666664
