variant,dataset,configured_pps,sent,duration_s,processed_pkts,processed_pps,loss_pct,bandwidth_kbps
cpu-minirocket,len150-binary,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-minirocket,len150-binary,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-minirocket,len150-binary,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-minirocket,len150-binary,5000.0,15001,3.0,15001,5000.333333333333,0.0,2560.1706666666664
cpu-minirocket,len150-binary,10000.0,30001,3.0,29667,9889.0,1.1132962234592148,5063.168
cpu-minirocket,len150-binary,25000.0,75001,3.0,40952,13650.666666666666,45.398061359181874,6989.141333333333
cpu-minirocket,len150-binary,50000.0,150001,3.0,41292,13764.0,72.47218351877653,7047.168
cpu-minirocket,len150-binary,100000.0,300001,3.0,42016,14005.333333333334,85.9947133509555,7170.730666666667
cpu-minirocket,len150-binary,250000.0,750000,3.0,42136,14045.333333333334,94.38186666666667,7191.210666666667
cpu-minirocket,len150-binary,500000.0,937894,3.0,41983,13994.333333333334,95.52369457529316,7165.098666666667
