variant,dataset,configured_pps,sent,duration_s,eth_in_delta,app_in_delta,udp_out_delta,processed_pps,loss_pct,bandwidth_kbps
v3-dpr,len150-binary,500,1501,3,1505,1501,3002,500.333,0.000,256.170
v3-dpr,len150-binary,1000,3001,3,3004,3001,4914,1000.333,0.000,512.170
v3-dpr,len150-binary,2000,6001,3,2714,2703,4912,901.000,54.958,461.312
v3-dpr,len150-binary,5000,15001,3,2309,2296,4592,765.333,84.694,391.850
v3-dpr,len150-binary,10000,30001,3,2196,2184,4368,728.000,92.720,372.736
v3-dpr,len150-binary,25000,75001,3,2130,2118,4236,706.000,97.176,361.472
v3-dpr,len150-binary,50000,150001,3,2111,2099,4198,699.667,98.601,358.230
v3-dpr,len150-binary,100000,300001,3,2102,2089,4178,696.333,99.304,356.522
v3-dpr,len150-binary,250000,749999,3,2095,2083,4166,694.333,99.722,355.498
v3-dpr,len150-binary,500000,932209,3,2095,2083,4166,694.333,99.777,355.498
v3-dpr,len150-binary,1000000,960439,3,2096,2083,4166,694.333,99.783,355.498
v3-dpr,len150-binary,2000000,912665,3,2095,2083,4166,694.333,99.772,355.498
v3-dpr,len150-binary,5000000,935357,3,2096,2083,4166,694.333,99.777,355.498
