variant,dataset,configured_pps,sent,duration_s,processed_pkts,processed_pps,loss_pct,bandwidth_kbps
cpu-minirocket,InsectSound,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-minirocket,InsectSound,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-minirocket,InsectSound,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-minirocket,InsectSound,5000.0,15001,3.0,15001,5000.333333333333,0.0,2560.1706666666664
cpu-minirocket,InsectSound,10000.0,30001,3.0,26219,8739.666666666666,12.606246458451388,4474.709333333333
cpu-minirocket,InsectSound,25000.0,75001,3.0,51576,17192.0,31.23291689444141,8802.304
cpu-minirocket,InsectSound,50000.0,150001,3.0,76507,25502.333333333332,48.995673362177584,13057.194666666666
cpu-minirocket,InsectSound,100000.0,300001,3.0,93979,31326.333333333332,68.67377108742971,16039.082666666665
cpu-minirocket,InsectSound,250000.0,750000,3.0,109200,36400.0,85.44,18636.8
cpu-minirocket,InsectSound,500000.0,906579,3.0,110400,36800.0,87.82235194064721,18841.6
cpu-minirocket,FruitFlies,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-minirocket,FruitFlies,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-minirocket,FruitFlies,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-minirocket,FruitFlies,5000.0,15001,3.0,14854,4951.333333333333,0.9799346710219314,2535.0826666666667
cpu-minirocket,FruitFlies,10000.0,30001,3.0,28728,9576.0,4.243191893603548,4902.912
cpu-minirocket,FruitFlies,25000.0,75001,3.0,66100,22033.333333333332,11.867841762109844,11281.066666666666
cpu-minirocket,FruitFlies,50000.0,150001,3.0,121119,40373.0,19.254538303077982,20670.976
cpu-minirocket,FruitFlies,100000.0,300001,3.0,190541,63513.666666666664,36.48654504484985,32518.997333333333
cpu-minirocket,FruitFlies,250000.0,750001,3.0,253731,84577.0,66.16924510767319,43303.424
cpu-minirocket,FruitFlies,500000.0,895199,3.0,408114,136038.0,54.410806982581526,69651.456
cpu-minirocket,MosquitoSound,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-minirocket,MosquitoSound,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-minirocket,MosquitoSound,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-minirocket,MosquitoSound,5000.0,15001,3.0,14978,4992.666666666667,0.1533231117925471,2556.2453333333333
cpu-minirocket,MosquitoSound,10000.0,30001,3.0,28221,9407.0,5.933135562147928,4816.384
cpu-minirocket,MosquitoSound,25000.0,75001,3.0,64453,21484.333333333332,14.063812482500238,10999.978666666666
cpu-minirocket,MosquitoSound,50000.0,150001,3.0,118169,39389.666666666664,21.221191858720946,20167.50933333333
cpu-minirocket,MosquitoSound,100000.0,300001,3.0,206361,68787.0,31.2132292892357,35218.944
cpu-minirocket,MosquitoSound,250000.0,750000,3.0,345000,115000.0,54.0,58880.0
cpu-minirocket,MosquitoSound,500000.0,936889,3.0,378749,126249.66666666667,59.57375953821638,64639.829333333335
