variant,dataset,configured_pps,sent,duration_s,eth_in_delta,app_in_delta,udp_out_delta,processed_pps,loss_pct,bandwidth_kbps
fused,InsectSound,5000,25001,5,25006,25001,41,5000.200,0.000,2560.102
fused,InsectSound,10000,50001,5,50004,50001,84,10000.200,0.000,5120.102
fused,InsectSound,25000,125001,5,125005,125001,208,25000.200,0.000,12800.102
fused,InsectSound,50000,250002,5,250006,250002,417,50000.400,0.000,25600.205
fused,InsectSound,100000,500000,5,500004,500000,833,100000.000,0.000,51200.000
fused,InsectSound,250002,1250010,5,1250014,1250008,2083,250001.600,0.000,128000.819
fused,InsectSound,499996,2499982,5,2499986,2499981,4167,499996.200,0.000,255998.054
fused,InsectSound,745874,3729371,5,3729375,3729371,6215,745874.200,0.000,381887.590
fused,FruitFlies,5000,25001,5,25005,25001,5,5000.200,0.000,2560.102
fused,FruitFlies,10000,50001,5,50005,50001,10,10000.200,0.000,5120.102
fused,FruitFlies,25000,125001,5,125006,125001,25,25000.200,0.000,12800.102
fused,FruitFlies,50000,250002,5,250006,250002,50,50000.400,0.000,25600.205
fused,FruitFlies,100000,500000,5,500004,500000,100,100000.000,0.000,51200.000
fused,FruitFlies,250002,1250010,5,1250014,1250010,250,250002.000,0.000,128001.024
fused,FruitFlies,499996,2499982,5,2499986,2499981,500,499996.200,0.000,255998.054
fused,FruitFlies,743695,3718477,5,3718479,3718474,743,743694.800,0.000,380771.738
fused,MosquitoSound,5000,25001,5,25006,25001,6,5000.200,0.000,2560.102
fused,MosquitoSound,10000,50001,5,50004,50001,14,10000.200,0.000,5120.102
fused,MosquitoSound,25000,125001,5,125005,125001,33,25000.200,0.000,12800.102
fused,MosquitoSound,50000,250002,5,250006,250002,67,50000.400,0.000,25600.205
fused,MosquitoSound,100000,500001,5,500005,500000,133,100000.000,0.000,51200.000
fused,MosquitoSound,250002,1250010,5,1250015,1250010,333,250002.000,0.000,128001.024
fused,MosquitoSound,499996,2499982,5,2499985,2499981,667,499996.200,0.000,255998.054
fused,MosquitoSound,738778,3693891,5,3693893,3693888,985,738777.600,0.000,378254.131
