variant,dataset,configured_pps,sent,duration_s,eth_in_delta,app_in_delta,udp_out_delta,processed_pps,loss_pct,bandwidth_kbps
fused,InsectSound,500,1501,3,1505,1501,2,500.333,0.000,256.170
fused,InsectSound,1000,3001,3,3004,3001,5,1000.333,0.000,512.170
fused,InsectSound,2000,6001,3,6005,6001,10,2000.333,0.000,1024.170
fused,InsectSound,5000,15001,3,15004,15001,25,5000.333,0.000,2560.170
fused,InsectSound,10000,30001,3,30004,30001,50,10000.333,0.000,5120.170
fused,InsectSound,25000,75001,3,75004,75001,125,25000.333,0.000,12800.170
fused,InsectSound,50000,150001,3,5507,5495,9,1831.667,96.337,937.814
fused,InsectSound,100000,300001,3,3034,3023,5,1007.667,98.992,515.926
fused,InsectSound,250000,749999,3,2385,2374,3,791.333,99.683,405.162
fused,InsectSound,500000,943945,3,2379,2369,3,789.667,99.749,404.310
fused,FruitFlies,500,1501,3,1504,1501,0,500.333,0.000,256.170
fused,FruitFlies,1000,3001,3,3004,3001,0,1000.333,0.000,512.170
fused,FruitFlies,2000,6001,3,6006,6001,2,2000.333,0.000,1024.170
fused,FruitFlies,5000,15001,3,15004,15001,3,5000.333,0.000,2560.170
fused,FruitFlies,10000,30001,3,30004,30001,6,10000.333,0.000,5120.170
fused,FruitFlies,25000,75001,3,75004,75001,15,25000.333,0.000,12800.170
fused,FruitFlies,50000,150001,3,8196,8185,1,2728.333,94.543,1396.906
fused,FruitFlies,100000,300001,3,3332,3321,0,1107.000,98.893,566.784
fused,FruitFlies,250000,750000,3,2387,2377,0,792.333,99.683,405.674
fused,FruitFlies,500000,945292,3,2330,2319,0,773.000,99.755,395.776
fused,MosquitoSound,500,1501,3,1504,1501,0,500.333,0.000,256.170
fused,MosquitoSound,1000,3001,3,3005,3001,1,1000.333,0.000,512.170
fused,MosquitoSound,2000,6001,3,6005,6001,1,2000.333,0.000,1024.170
fused,MosquitoSound,5000,15001,3,15004,15001,4,5000.333,0.000,2560.170
fused,MosquitoSound,10000,30001,3,30004,30001,8,10000.333,0.000,5120.170
fused,MosquitoSound,25000,75001,3,75004,75001,20,25000.333,0.000,12800.170
fused,MosquitoSound,50000,150001,3,8213,8201,2,2733.667,94.533,1399.638
fused,MosquitoSound,100000,300001,3,3864,3853,1,1284.333,98.716,657.578
fused,MosquitoSound,250000,749998,3,2408,2398,0,799.333,99.680,409.258
fused,MosquitoSound,500000,941768,3,2439,2429,0,809.667,99.742,414.550
