variant,dataset,configured_pps,sent,duration_s,eth_in_delta,app_in_delta,udp_out_delta,processed_pps,loss_pct,bandwidth_kbps
fused,InsectSound,500,1501,3,1505,1501,2,500.333,0.000,256.170
fused,InsectSound,1000,3001,3,3004,3001,5,1000.333,0.000,512.170
fused,InsectSound,2000,6001,3,6005,6001,10,2000.333,0.000,1024.170
fused,InsectSound,5000,15001,3,15004,15001,25,5000.333,0.000,2560.170
fused,InsectSound,10000,30001,3,30004,30001,50,10000.333,0.000,5120.170
fused,InsectSound,25000,75001,3,75004,75001,125,25000.333,0.000,12800.170
fused,InsectSound,50000,150001,3,150004,150001,250,50000.333,0.000,25600.170
fused,InsectSound,100000,300001,3,300005,300001,500,100000.333,0.000,51200.170
fused,InsectSound,250000,749999,3,750003,749999,1250,249999.667,0.000,127999.830
fused,InsectSound,500000,935345,3,935349,935344,1559,311781.333,0.000,159632.042
fused,FruitFlies,500,1501,3,1504,1501,0,500.333,0.000,256.170
fused,FruitFlies,1000,3001,3,3004,3001,0,1000.333,0.000,512.170
fused,FruitFlies,2000,6001,3,6006,6001,2,2000.333,0.000,1024.170
fused,FruitFlies,5000,15001,3,15004,15001,3,5000.333,0.000,2560.170
fused,FruitFlies,10000,30001,3,30004,30001,6,10000.333,0.000,5120.170
fused,FruitFlies,25000,75001,3,75004,75001,15,25000.333,0.000,12800.170
fused,FruitFlies,50000,150001,3,150004,150001,30,50000.333,0.000,25600.170
fused,FruitFlies,100000,300001,3,300004,300001,60,100000.333,0.000,51200.170
fused,FruitFlies,250000,749998,3,750001,749997,150,249999.000,0.000,127999.488
fused,FruitFlies,500000,914570,3,914573,914568,183,304856.000,0.000,156086.272
fused,MosquitoSound,500,1501,3,1504,1501,0,500.333,0.000,256.170
fused,MosquitoSound,1000,3001,3,3005,3001,1,1000.333,0.000,512.170
fused,MosquitoSound,2000,6001,3,6005,6001,1,2000.333,0.000,1024.170
fused,MosquitoSound,5000,15001,3,15004,15001,4,5000.333,0.000,2560.170
fused,MosquitoSound,10000,30001,3,30004,30001,8,10000.333,0.000,5120.170
fused,MosquitoSound,25000,75001,3,75004,75001,20,25000.333,0.000,12800.170
fused,MosquitoSound,50000,150001,3,150005,150001,40,50000.333,0.000,25600.170
fused,MosquitoSound,100000,300001,3,300004,300000,80,100000.000,0.000,51200.000
fused,MosquitoSound,250000,750001,3,750002,749999,200,249999.667,0.000,127999.830
fused,MosquitoSound,500000,901222,3,901228,901222,241,300407.333,0.000,153808.554
