rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4855,5000,-2.98,2560.0,12,58265
6650,9712,9583,1.32,4906.7,23,116539
2660,24285,24583,-1.23,12586.7,59,291418
1330,48510,48333,0.36,24746.7,116,582123
665,96984,97083,-0.10,49706.7,233,1163806
500,136818,137500,-0.50,70400.0,110,547270
200,341388,341250,0.04,174720.0,273,1365552
100,680464,680000,0.07,348160.0,544,2721856
65,1044670,1045000,-0.03,535040.0,836,4178679
45,1489663,1490000,-0.02,762880.0,1192,5958653
30,2217654,2217500,0.01,1135360.0,1774,8870618
22,2985520,2985000,0.02,1528320.0,2388,11942082
15,4295148,4296250,-0.03,2199680.0,3437,17180591
10,6214304,6213750,0.01,3181440.0,4971,24857215
6,9818511,9338750,4.89,4781440.0,7471,39274043
3,17138619,9315000,45.65,4769280.0,7452,68554475
