rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4857,4850,0.14,2483.2,97,58284
6650,9716,9700,0.16,4966.4,194,116586
2660,24278,24250,0.12,12416.0,485,291342
1330,48507,48500,0.01,24832.0,970,582086
665,96995,97000,-0.01,49664.0,1940,1163936
500,136889,136950,-0.04,70118.4,913,547555
200,341746,341850,-0.03,175027.2,2279,1366984
100,678701,678600,0.01,347443.2,4524,2714805
65,1039308,1039200,0.01,532070.4,6928,4157233
45,1490469,1490550,-0.01,763161.6,9937,5961877
30,2211646,2211750,-0.00,1132416.0,14745,8846583
22,2987436,2987550,-0.00,1529625.6,19917,11949745
15,4295162,4295250,-0.00,2199168.0,28635,17180646
10,6232776,5671200,9.01,2903654.4,37808,24931102
6,9810673,5680650,42.10,2908492.8,37871,39242692
3,17148215,5673900,66.91,2905036.8,37826,68592860
