rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4815,4688,2.64,2400.0,15,57776
6650,9622,9688,-0.68,4960.0,31,115469
2660,24065,24062,0.01,12320.0,77,288783
1330,48124,48125,-0.00,24640.0,154,577483
665,96169,95938,0.24,49120.0,307,1154025
500,133734,134062,-0.25,68640.0,143,534935
200,333238,333750,-0.15,170880.0,356,1332951
100,663250,662812,0.07,339360.0,707,2653001
65,1023100,1023750,-0.06,524160.0,1092,4092398
45,1491612,1491562,0.00,763680.0,1591,5966450
30,2217096,2217188,-0.00,1135200.0,2365,8868383
22,2985370,2985938,-0.02,1528800.0,3185,11941480
15,4287674,4287188,0.01,2195040.0,4573,17150698
10,6237982,6238125,-0.00,3193920.0,6654,24951930
6,9631793,9631875,-0.00,4931520.0,10274,38527172
3,16858799,9642188,42.81,4936800.0,10285,67435197
