rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4875,4583,5.98,2346.7,11,58501
6650,9757,9583,1.78,4906.7,23,117087
2660,24368,24583,-0.88,12586.7,59,292420
1330,48725,48750,-0.05,24960.0,117,584703
665,97378,97083,0.30,49706.7,233,1168532
500,138596,138750,-0.11,71040.0,111,554385
200,345502,345000,0.15,176640.0,276,1382007
100,686876,686250,0.09,351360.0,549,2747505
65,1050801,1050000,0.08,537600.0,840,4203203
45,1509083,1510000,-0.06,773120.0,1208,6036332
30,2236302,2236250,0.00,1144960.0,1789,8945207
22,3012724,3012500,0.01,1542400.0,2410,12050894
15,4335668,4336250,-0.01,2220160.0,3469,17342671
10,6306177,6306250,-0.00,3228800.0,5045,25224707
6,9920561,9921250,-0.01,5079680.0,7937,39682245
3,17372361,17372500,-0.00,8894720.0,13898,69489444
2,22764099,21951250,3.57,11239040.0,17561,91056396
