rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4836,4850,-0.28,2483.2,97,58036
6650,9667,9650,0.18,4940.8,193,116007
2660,24178,24150,0.12,12364.8,483,290142
1330,48330,48300,0.06,24729.6,966,579966
665,96580,96600,-0.02,49459.2,1932,1158957
500,135336,135300,0.03,69273.6,902,541342
200,337334,337350,-0.00,172723.2,2249,1349336
100,672099,672150,-0.01,344140.8,4481,2688396
65,1028794,1028700,0.01,526694.4,6858,4115178
45,1475258,1475250,0.00,755328.0,9835,5901030
30,2181054,2181000,0.00,1116672.0,14540,8724216
22,2942285,2942250,0.00,1506432.0,19615,11769141
15,4233372,4233300,0.00,2167449.6,28222,16933486
10,6171180,6171150,0.00,3159628.8,41141,24684719
6,9698476,8782650,9.44,4496716.8,58551,38793903
3,16976872,8785050,48.25,4497945.6,58567,67907487
