rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4831,5000,-3.49,2560.0,16,57975
6650,9669,9688,-0.19,4960.0,31,116024
2660,24168,24062,0.44,12320.0,77,290019
1330,48285,48125,0.33,24640.0,154,579424
665,96520,96562,-0.04,49440.0,309,1158245
500,135260,135000,0.19,69120.0,144,541042
200,337164,337500,-0.10,172800.0,360,1348655
100,670193,670312,-0.02,343200.0,715,2680771
65,1025514,1025625,-0.01,525120.0,1094,4102058
45,1471345,1470938,0.03,753120.0,1569,5885381
30,2182242,2182500,-0.01,1117440.0,2328,8728968
22,2945897,2945625,0.01,1508160.0,3142,11783587
15,4224597,4224375,0.01,2162880.0,4506,16898387
10,6303739,6303750,-0.00,3227520.0,6724,25214957
6,9675139,9675000,0.00,4953600.0,10320,38700557
3,16948856,16949062,-0.00,8677920.0,18079,67795422
2,22781484,21723750,4.64,11122560.0,23172,91125938
