rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
500,137239,137100,0.10,70195.2,914,548956
200,341480,341550,-0.02,174873.6,2277,1365919
100,678040,678000,0.01,347136.0,4520,2712158
65,1044637,1044600,0.00,534835.2,6964,4178549
45,1495644,1495650,-0.00,765772.8,9971,5982574
30,2216997,2217000,-0.00,1135104.0,14780,8867988
22,2984811,2748900,7.90,1407436.8,18326,11939243
15,4290671,2748900,35.93,1407436.8,18326,17162684
10,6238590,2747850,55.95,1406899.2,18319,24954361
6,9795614,2745750,71.97,1405824.0,18305,39182455
3,17145639,2746200,83.98,1406054.4,18308,68582555
1,34340648,2750100,91.99,1408051.2,18334,137362594
0,0,0,0.00,0.0,0,0
