rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4813,4583,4.78,2346.7,11,57758
6650,9714,9583,1.35,4906.7,23,116571
2660,24280,24167,0.47,12373.3,58,291365
1330,48499,48333,0.34,24746.7,116,581993
665,96924,97083,-0.16,49706.7,233,1163092
500,136899,137500,-0.44,70400.0,110,547596
200,341238,341250,-0.00,174720.0,273,1364950
100,676667,676250,0.06,346240.0,541,2706667
65,1041169,1041250,-0.01,533120.0,833,4164676
45,1490141,1490000,0.01,762880.0,1192,5960565
30,2216724,2217500,-0.04,1135360.0,1774,8866896
22,2986324,2986250,0.00,1528960.0,2389,11945294
15,4279969,4280000,-0.00,2191360.0,3424,17119877
10,6238881,6240000,-0.02,3194880.0,4992,24955525
6,9785114,7440000,23.97,3809280.0,5952,39140456
3,17173250,7460000,56.56,3819520.0,5968,68693000
