rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4816,4800,0.32,2457.6,96,57787
6650,9642,9650,-0.09,4940.8,193,115700
2660,24071,24050,0.09,12313.6,481,288848
1330,48118,48150,-0.07,24652.8,963,577421
665,96180,96200,-0.02,49254.4,1924,1154154
500,133698,133800,-0.08,68505.6,892,534792
200,333559,333600,-0.01,170803.2,2224,1334236
100,662984,663000,-0.00,339456.0,4420,2651936
65,1016674,1016700,-0.00,520550.4,6778,4066694
45,1455855,1455750,0.01,745344.0,9705,5823421
30,2155814,2155800,0.00,1103769.6,14372,8623257
22,2918584,2687850,7.91,1376179.2,17919,11674336
15,4210891,2697750,35.93,1381248.0,17985,16843563
10,6092195,2683500,55.95,1373952.0,17890,24368781
6,9586825,2687100,71.97,1375795.2,17914,38347299
3,16753150,2683350,83.98,1373875.2,17889,67012599
