rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4855,4688,3.44,2400.0,15,58256
6650,9709,9688,0.22,4960.0,31,116507
2660,24263,24062,0.83,12320.0,77,291160
1330,48531,48438,0.19,24800.0,155,582367
665,96949,96875,0.08,49600.0,310,1163389
500,136705,136875,-0.12,70080.0,146,546821
200,340687,341250,-0.17,174720.0,364,1362747
100,680460,680625,-0.02,348480.0,726,2721842
65,1038765,1038750,0.00,531840.0,1108,4155061
45,1491955,1492500,-0.04,764160.0,1592,5967820
30,2202839,2203125,-0.01,1128000.0,2350,8811356
22,2986799,2986875,-0.00,1529280.0,3186,11947197
15,4294131,4293750,0.01,2198400.0,4580,17176524
10,6244564,6244688,-0.00,3197280.0,6661,24978257
6,9814807,7310625,25.51,3743040.0,7798,39259229
3,17162556,7305000,57.44,3740160.0,7792,68650225
