variant,dataset,configured_pps,sent,duration_s,eth_in_delta,app_in_delta,udp_out_delta,processed_pps,loss_pct,bandwidth_kbps
fused_dropfull_f2f,InsectSound,137239,548956,4,548956,548956,914,137100,0.10,70195.2
fused_dropfull_f2f,InsectSound,341480,1365919,4,1365919,1365919,2277,341550,-0.02,174873.6
fused_dropfull_f2f,InsectSound,678040,2712158,4,2712158,2712158,4520,678000,0.01,347136.0
fused_dropfull_f2f,InsectSound,1044637,4178549,4,4178549,4178549,6964,1044600,0.00,534835.2
fused_dropfull_f2f,InsectSound,1495644,5982574,4,5982574,5982574,9971,1495650,-0.00,765772.8
fused_dropfull_f2f,InsectSound,2216997,8867988,4,8867988,8867988,14780,2217000,-0.00,1135104.0
fused_dropfull_f2f,InsectSound,2984811,11939243,4,11939243,11939243,18326,2748900,7.90,1407436.8
fused_dropfull_f2f,InsectSound,4290671,17162684,4,17162684,17162684,18326,2748900,35.93,1407436.8
fused_dropfull_f2f,InsectSound,6238590,24954361,4,24954361,24954361,18319,2747850,55.95,1406899.2
fused_dropfull_f2f,InsectSound,9795614,39182455,4,39182455,39182455,18305,2745750,71.97,1405824.0
fused_dropfull_f2f,InsectSound,17145639,68582555,4,68582555,68582555,18308,2746200,83.98,1406054.4
fused_dropfull_f2f,InsectSound,34340648,137362594,4,137362594,137362594,18334,2750100,91.99,1408051.2
