rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4829,4850,-0.43,2483.2,97,57950
6650,9684,9700,-0.17,4966.4,194,116204
2660,24189,24200,-0.05,12390.4,484,290263
1330,48016,48050,-0.07,24601.6,961,576198
665,96692,96650,0.04,49484.8,1933,1160303
500,135147,135150,-0.00,69196.8,901,540589
200,339251,339300,-0.01,173721.6,2262,1357003
100,671779,671850,-0.01,343987.2,4479,2687115
65,1027808,1027800,0.00,526233.6,6852,4111230
45,1473366,1473300,0.00,754329.6,9822,5893462
30,2191190,2191050,0.01,1121817.6,14607,8764760
22,2950836,2950800,0.00,1510809.6,19672,11803346
15,4243855,4243950,-0.00,2172902.4,28293,16975419
10,6163605,5388450,12.58,2758886.4,35923,24654420
6,9701488,5397300,44.37,2763417.6,35982,38805951
3,16971774,5395500,68.21,2762496.0,35970,67887095
