rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4803,4688,2.41,2400.0,15,57638
6650,9598,9688,-0.93,4960.0,31,115175
2660,23991,24062,-0.30,12320.0,77,287889
1330,47967,48125,-0.33,24640.0,154,575602
665,96564,96562,0.00,49440.0,309,1158766
500,135453,135938,-0.36,69600.0,145,541811
200,339306,339375,-0.02,173760.0,362,1357224
100,671592,671250,0.05,343680.0,716,2686366
65,1027186,1026562,0.06,525600.0,1095,4108745
45,1475825,1475625,0.01,755520.0,1574,5903299
30,2188112,2188125,-0.00,1120320.0,2334,8752447
22,2943538,2943750,-0.01,1507200.0,3140,11774154
15,4241280,4241250,0.00,2171520.0,4524,16965120
10,6174688,6174375,0.01,3161280.0,6586,24698751
6,9696014,7885312,18.67,4037280.0,8411,38784057
3,16935349,7870312,53.53,4029600.0,8395,67741395
