rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4818,5000,-3.79,2560.0,12,57811
6650,9634,9583,0.52,4906.7,23,115605
2660,24081,23750,1.37,12160.0,57,288973
1330,48110,47917,0.40,24533.3,115,577321
665,96188,96250,-0.06,49280.0,231,1154258
500,133904,133750,0.12,68480.0,107,535618
200,333246,332500,0.22,170240.0,266,1332983
100,663940,663750,0.03,339840.0,531,2655759
65,1016099,1016250,-0.01,520320.0,813,4064396
45,1460341,1460000,0.02,747520.0,1168,5841363
30,2161142,2161250,-0.01,1106560.0,1729,8644567
22,2914326,2915000,-0.02,1492480.0,2332,11657305
15,4211753,4211250,0.01,2156160.0,3369,16847012
10,6139231,6138750,0.01,3143040.0,4911,24556924
6,9592444,9592500,-0.00,4911360.0,7674,38369774
3,16809110,13387500,20.36,6854400.0,10710,67236439
2,22361461,13356250,40.27,6838400.0,10685,89445843
