rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4813,4850,-0.78,2483.2,97,57751
6650,9636,9650,-0.15,4940.8,193,115629
2660,24279,24250,0.12,12416.0,485,291349
1330,48132,48150,-0.04,24652.8,963,577586
665,96158,96200,-0.04,49254.4,1924,1153902
500,133818,133800,0.01,68505.6,892,535274
200,340637,340650,-0.00,174412.8,2271,1362547
100,679909,679800,0.02,348057.6,4532,2719636
65,1039442,1039500,-0.01,532224.0,6930,4157768
45,1490555,1490550,0.00,763161.6,9937,5962221
30,2151878,2151900,-0.00,1101772.8,14346,8607512
22,2914362,2914350,0.00,1492147.2,19429,11657446
15,4192976,4192950,0.00,2146790.4,27953,16771905
10,6090636,5949450,2.32,3046118.4,39663,24362546
6,9573765,5951250,37.84,3047040.0,39675,38295060
3,16746064,5948400,64.48,3045580.8,39656,66984255
2,22875042,6094050,73.36,3120153.6,40627,91500168
