rate_divider,offered_pps,processed_pps,loss_pct,bandwidth_kbps,udp_out_delta,app_in_delta
13300,4809,4688,2.52,2400.0,15,57703
6650,9625,9688,-0.65,4960.0,31,115495
2660,24051,24062,-0.05,12320.0,77,288612
1330,48116,48125,-0.02,24640.0,154,577396
665,96122,95938,0.19,49120.0,307,1153468
500,134080,134062,0.01,68640.0,143,536319
200,333390,332812,0.17,170400.0,355,1333562
100,662322,661875,0.07,338880.0,706,2649287
65,1013444,1013438,0.00,518880.0,1081,4053775
45,1456882,1456875,0.00,745920.0,1554,5827530
30,2161814,2161875,-0.00,1106880.0,2306,8647258
22,2908570,2908125,0.02,1488960.0,3102,11634280
15,4188211,4187812,0.01,2144160.0,4467,16752843
10,6091231,6090938,0.00,3118560.0,6497,24364925
6,9566018,9566250,-0.00,4897920.0,10204,38264073
3,16754110,12425625,25.84,6361920.0,13254,67016442
2,22281232,12392812,44.38,6345120.0,13219,89124930
