[setup] SKIP_DEPLOY=1 — using already-deployed pc160 DUT
[19:45:33] div=500 offered=137239 processed=137100 loss=0.10% bw=70195.2kbps (udp_out_d=914)
[19:45:41] div=200 offered=341480 processed=341550 loss=-0.02% bw=174873.6kbps (udp_out_d=2277)
[19:45:48] div=100 offered=678040 processed=678000 loss=0.01% bw=347136.0kbps (udp_out_d=4520)
[19:45:55] div=65 offered=1044637 processed=1044600 loss=0.00% bw=534835.2kbps (udp_out_d=6964)
[19:46:03] div=45 offered=1495644 processed=1495650 loss=-0.00% bw=765772.8kbps (udp_out_d=9971)
[19:46:10] div=30 offered=2216997 processed=2217000 loss=-0.00% bw=1135104.0kbps (udp_out_d=14780)
[19:46:18] div=22 offered=2984811 processed=2748900 loss=7.90% bw=1407436.8kbps (udp_out_d=18326)
[19:46:25] div=15 offered=4290671 processed=2748900 loss=35.93% bw=1407436.8kbps (udp_out_d=18326)
[19:46:32] div=10 offered=6238590 processed=2747850 loss=55.95% bw=1406899.2kbps (udp_out_d=18319)
[19:46:40] div=6 offered=9795614 processed=2745750 loss=71.97% bw=1405824.0kbps (udp_out_d=18305)
[19:46:47] div=3 offered=17145639 processed=2746200 loss=83.98% bw=1406054.4kbps (udp_out_d=18308)
[19:46:55] div=1 offered=34340648 processed=2750100 loss=91.99% bw=1408051.2kbps (udp_out_d=18334)
[warn] div=0 read zero — re-asserting pc161 socket and retrying
[19:47:11] div=0 offered=0 processed=0 loss=0.00% bw=0.0kbps (udp_out_d=0)
[done] generator quiesced (div=1000000000)
=== KNEE SWEEP DONE: /home/rdave009/minirocket-hls/MiniRocketHLS/saturation_harness/runs/tp_2026-07-09_f2f_knee/fused_dropfull_knee.csv ===
rate_divider  offered_pps  processed_pps  loss_pct  bandwidth_kbps  udp_out_delta  app_in_delta
500           137239       137100         0.10      70195.2         914            548956
200           341480       341550         -0.02     174873.6        2277           1365919
100           678040       678000         0.01      347136.0        4520           2712158
65            1044637      1044600        0.00      534835.2        6964           4178549
45            1495644      1495650        -0.00     765772.8        9971           5982574
30            2216997      2217000        -0.00     1135104.0       14780          8867988
22            2984811      2748900        7.90      1407436.8       18326          11939243
15            4290671      2748900        35.93     1407436.8       18326          17162684
10            6238590      2747850        55.95     1406899.2       18319          24954361
6             9795614      2745750        71.97     1405824.0       18305          39182455
3             17145639     2746200        83.98     1406054.4       18308          68582555
1             34340648     2750100        91.99     1408051.2       18334          137362594
0             0            0              0.00      0.0             0              0
