[setup] SKIP_DEPLOY=1 — using already-deployed pc160 DUT
[14:54:23] div=13300 offered=4818 processed=5000 loss=-3.79% bw=2560.0kbps (udp_out_d=12)
[14:54:39] div=6650 offered=9634 processed=9583 loss=0.52% bw=4906.7kbps (udp_out_d=23)
[14:54:54] div=2660 offered=24081 processed=23750 loss=1.37% bw=12160.0kbps (udp_out_d=57)
[14:55:10] div=1330 offered=48110 processed=47917 loss=0.40% bw=24533.3kbps (udp_out_d=115)
[14:55:25] div=665 offered=96188 processed=96250 loss=-0.06% bw=49280.0kbps (udp_out_d=231)
[14:55:33] div=500 offered=133904 processed=133750 loss=0.12% bw=68480.0kbps (udp_out_d=107)
[14:55:40] div=200 offered=333246 processed=332500 loss=0.22% bw=170240.0kbps (udp_out_d=266)
[14:55:47] div=100 offered=663940 processed=663750 loss=0.03% bw=339840.0kbps (udp_out_d=531)
[14:55:55] div=65 offered=1016099 processed=1016250 loss=-0.01% bw=520320.0kbps (udp_out_d=813)
[14:56:02] div=45 offered=1460341 processed=1460000 loss=0.02% bw=747520.0kbps (udp_out_d=1168)
[14:56:09] div=30 offered=2161142 processed=2161250 loss=-0.01% bw=1106560.0kbps (udp_out_d=1729)
[14:56:17] div=22 offered=2914326 processed=2915000 loss=-0.02% bw=1492480.0kbps (udp_out_d=2332)
[14:56:24] div=15 offered=4211753 processed=4211250 loss=0.01% bw=2156160.0kbps (udp_out_d=3369)
[14:56:31] div=10 offered=6139231 processed=6138750 loss=0.01% bw=3143040.0kbps (udp_out_d=4911)
[14:56:39] div=6 offered=9592444 processed=9592500 loss=-0.00% bw=4911360.0kbps (udp_out_d=7674)
[14:56:46] div=3 offered=16809110 processed=13387500 loss=20.36% bw=6854400.0kbps (udp_out_d=10710)
[14:56:53] div=2 offered=22361461 processed=13356250 loss=40.27% bw=6838400.0kbps (udp_out_d=10685)
[done] generator quiesced (div=1000000000)
=== KNEE SWEEP DONE: /home/rdave009/minirocket-hls/MiniRocketHLS/saturation_harness/runs/tp_2026-07-09_f2f_knee/hydra_dropfull_u64_knee_FruitFlies.csv ===
rate_divider  offered_pps  processed_pps  loss_pct  bandwidth_kbps  udp_out_delta  app_in_delta
13300         4818         5000           -3.79     2560.0          12             57811
6650          9634         9583           0.52      4906.7          23             115605
2660          24081        23750          1.37      12160.0         57             288973
1330          48110        47917          0.40      24533.3         115            577321
665           96188        96250          -0.06     49280.0         231            1154258
500           133904       133750         0.12      68480.0         107            535618
200           333246       332500         0.22      170240.0        266            1332983
100           663940       663750         0.03      339840.0        531            2655759
65            1016099      1016250        -0.01     520320.0        813            4064396
45            1460341      1460000        0.02      747520.0        1168           5841363
30            2161142      2161250        -0.01     1106560.0       1729           8644567
22            2914326      2915000        -0.02     1492480.0       2332           11657305
15            4211753      4211250        0.01      2156160.0       3369           16847012
10            6139231      6138750        0.01      3143040.0       4911           24556924
6             9592444      9592500        -0.00     4911360.0       7674           38369774
3             16809110     13387500       20.36     6854400.0       10710          67236439
2             22361461     13356250       40.27     6838400.0       10685          89445843
