[setup] SKIP_DEPLOY=1 — using already-deployed pc160 DUT
[14:45:42] div=13300 offered=4813 processed=4850 loss=-0.78% bw=2483.2kbps (udp_out_d=97)
[14:45:57] div=6650 offered=9636 processed=9650 loss=-0.15% bw=4940.8kbps (udp_out_d=193)
[14:46:13] div=2660 offered=24279 processed=24250 loss=0.12% bw=12416.0kbps (udp_out_d=485)
[14:46:28] div=1330 offered=48132 processed=48150 loss=-0.04% bw=24652.8kbps (udp_out_d=963)
[14:46:43] div=665 offered=96158 processed=96200 loss=-0.04% bw=49254.4kbps (udp_out_d=1924)
[14:46:51] div=500 offered=133818 processed=133800 loss=0.01% bw=68505.6kbps (udp_out_d=892)
[14:46:58] div=200 offered=340637 processed=340650 loss=-0.00% bw=174412.8kbps (udp_out_d=2271)
[14:47:06] div=100 offered=679909 processed=679800 loss=0.02% bw=348057.6kbps (udp_out_d=4532)
[14:47:13] div=65 offered=1039442 processed=1039500 loss=-0.01% bw=532224.0kbps (udp_out_d=6930)
[14:47:21] div=45 offered=1490555 processed=1490550 loss=0.00% bw=763161.6kbps (udp_out_d=9937)
[14:47:28] div=30 offered=2151878 processed=2151900 loss=-0.00% bw=1101772.8kbps (udp_out_d=14346)
[14:47:36] div=22 offered=2914362 processed=2914350 loss=0.00% bw=1492147.2kbps (udp_out_d=19429)
[14:47:43] div=15 offered=4192976 processed=4192950 loss=0.00% bw=2146790.4kbps (udp_out_d=27953)
[14:47:50] div=10 offered=6090636 processed=5949450 loss=2.32% bw=3046118.4kbps (udp_out_d=39663)
[14:47:57] div=6 offered=9573765 processed=5951250 loss=37.84% bw=3047040.0kbps (udp_out_d=39675)
[14:48:05] div=3 offered=16746064 processed=5948400 loss=64.48% bw=3045580.8kbps (udp_out_d=39656)
[14:48:12] div=2 offered=22875042 processed=6094050 loss=73.36% bw=3120153.6kbps (udp_out_d=40627)
[done] generator quiesced (div=1000000000)
=== KNEE SWEEP DONE: /home/rdave009/minirocket-hls/MiniRocketHLS/saturation_harness/runs/tp_2026-07-09_f2f_knee/hydra_dropfull_u64_knee_InsectSound.csv ===
rate_divider  offered_pps  processed_pps  loss_pct  bandwidth_kbps  udp_out_delta  app_in_delta
13300         4813         4850           -0.78     2483.2          97             57751
6650          9636         9650           -0.15     4940.8          193            115629
2660          24279        24250          0.12      12416.0         485            291349
1330          48132        48150          -0.04     24652.8         963            577586
665           96158        96200          -0.04     49254.4         1924           1153902
500           133818       133800         0.01      68505.6         892            535274
200           340637       340650         -0.00     174412.8        2271           1362547
100           679909       679800         0.02      348057.6        4532           2719636
65            1039442      1039500        -0.01     532224.0        6930           4157768
45            1490555      1490550        0.00      763161.6        9937           5962221
30            2151878      2151900        -0.00     1101772.8       14346          8607512
22            2914362      2914350        0.00      1492147.2       19429          11657446
15            4192976      4192950        0.00      2146790.4       27953          16771905
10            6090636      5949450        2.32      3046118.4       39663          24362546
6             9573765      5951250        37.84     3047040.0       39675          38295060
3             16746064     5948400        64.48     3045580.8       39656          66984255
2             22875042     6094050        73.36     3120153.6       40627          91500168
