[setup] SKIP_DEPLOY=1 — using already-deployed pc160 DUT
[19:53:01] div=13300 offered=4794 processed=4583 loss=4.38% bw=2346.7kbps (udp_out_d=11)
[19:53:17] div=6650 offered=9586 processed=9583 loss=0.03% bw=4906.7kbps (udp_out_d=23)
[19:53:32] div=2660 offered=23963 processed=24167 loss=-0.85% bw=12373.3kbps (udp_out_d=58)
[19:53:47] div=1330 offered=47907 processed=47917 loss=-0.02% bw=24533.3kbps (udp_out_d=115)
[19:54:02] div=665 offered=95728 processed=95417 loss=0.33% bw=48853.3kbps (udp_out_d=229)
[19:54:10] div=500 offered=131751 processed=131250 loss=0.38% bw=67200.0kbps (udp_out_d=105)
[19:54:17] div=200 offered=329234 processed=330000 loss=-0.23% bw=168960.0kbps (udp_out_d=264)
[19:54:24] div=100 offered=655014 processed=655000 loss=0.00% bw=335360.0kbps (udp_out_d=524)
[19:54:31] div=65 offered=1002149 processed=1002500 loss=-0.04% bw=513280.0kbps (udp_out_d=802)
[19:54:38] div=45 offered=1440143 processed=1440000 loss=0.01% bw=737280.0kbps (udp_out_d=1152)
[19:54:45] div=30 offered=2133807 processed=2133750 loss=0.00% bw=1092480.0kbps (udp_out_d=1707)
[19:54:52] div=22 offered=2882266 processed=2882500 loss=-0.01% bw=1475840.0kbps (udp_out_d=2306)
[19:54:59] div=15 offered=4135465 processed=4135000 loss=0.01% bw=2117120.0kbps (udp_out_d=3308)
[19:55:07] div=10 offered=6013704 processed=6013750 loss=-0.00% bw=3079040.0kbps (udp_out_d=4811)
[19:55:14] div=6 offered=9484346 processed=7943750 loss=16.24% bw=4067200.0kbps (udp_out_d=6355)
[19:55:21] div=3 offered=16971371 processed=8122500 loss=52.14% bw=4158720.0kbps (udp_out_d=6498)
[done] generator quiesced (div=1000000000)
=== KNEE SWEEP DONE: /home/rdave009/minirocket-hls/MiniRocketHLS/saturation_harness/runs/tp_2026-07-09_f2f_knee/hydra_dropfull_knee_FruitFlies.csv ===
rate_divider  offered_pps  processed_pps  loss_pct  bandwidth_kbps  udp_out_delta  app_in_delta
13300         4794         4583           4.38      2346.7          11             57522
6650          9586         9583           0.03      4906.7          23             115029
2660          23963        24167          -0.85     12373.3         58             287559
1330          47907        47917          -0.02     24533.3         115            574889
665           95728        95417          0.33      48853.3         229            1148738
500           131751       131250         0.38      67200.0         105            527005
200           329234       330000         -0.23     168960.0        264            1316938
100           655014       655000         0.00      335360.0        524            2620058
65            1002149      1002500        -0.04     513280.0        802            4008596
45            1440143      1440000        0.01      737280.0        1152           5760572
30            2133807      2133750        0.00      1092480.0       1707           8535229
22            2882266      2882500        -0.01     1475840.0       2306           11529066
15            4135465      4135000        0.01      2117120.0       3308           16541860
10            6013704      6013750        -0.00     3079040.0       4811           24054818
6             9484346      7943750        16.24     4067200.0       6355           37937386
3             16971371     8122500        52.14     4158720.0       6498           67885484
