variant,dataset,configured_pps,sent,duration_s,processed_pkts,processed_pps,loss_pct,bandwidth_kbps
cpu-hydra,InsectSound,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-hydra,InsectSound,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-hydra,InsectSound,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-hydra,InsectSound,5000.0,15001,3.0,15001,5000.333333333333,0.0,2560.1706666666664
cpu-hydra,InsectSound,10000.0,30001,3.0,30001,10000.333333333334,0.0,5120.170666666667
cpu-hydra,InsectSound,25000.0,75001,3.0,70243,23414.333333333332,6.343915414461144,11988.138666666666
cpu-hydra,InsectSound,50000.0,150001,3.0,125112,41704.0,16.59255604962634,21352.448
cpu-hydra,InsectSound,100000.0,300001,3.0,211030,70343.33333333333,29.65690114366285,36015.78666666667
cpu-hydra,InsectSound,250000.0,750001,3.0,312895,104298.33333333333,58.28072229237028,53400.746666666666
cpu-hydra,InsectSound,500000.0,1106446,3.0,328795,109598.33333333333,70.28368307174503,56114.346666666665
cpu-hydra,FruitFlies,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-hydra,FruitFlies,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-hydra,FruitFlies,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-hydra,FruitFlies,5000.0,15001,3.0,14682,4894.0,2.1265248983401097,2505.728
cpu-hydra,FruitFlies,10000.0,30001,3.0,27673,9224.333333333334,7.759741341955273,4722.858666666667
cpu-hydra,FruitFlies,25000.0,75001,3.0,64114,21371.333333333332,14.515806455913927,10942.122666666666
cpu-hydra,FruitFlies,50000.0,150001,3.0,112022,37340.666666666664,25.31916453890307,19118.421333333332
cpu-hydra,FruitFlies,100000.0,300001,3.0,180139,60046.333333333336,39.95386682044393,30743.72266666667
cpu-hydra,FruitFlies,250000.0,750001,3.0,298939,99646.33333333333,60.14151981130692,51018.922666666665
cpu-hydra,FruitFlies,500000.0,1148038,3.0,347111,115703.66666666667,69.76485098925296,59240.27733333334
cpu-hydra,MosquitoSound,500.0,1501,3.0,1501,500.3333333333333,0.0,256.17066666666665
cpu-hydra,MosquitoSound,1000.0,3001,3.0,3001,1000.3333333333334,0.0,512.1706666666666
cpu-hydra,MosquitoSound,2000.0,6001,3.0,6001,2000.3333333333333,0.0,1024.1706666666666
cpu-hydra,MosquitoSound,5000.0,15001,3.0,14747,4915.666666666667,1.693220451969868,2516.8213333333333
cpu-hydra,MosquitoSound,10000.0,30001,3.0,27682,9227.333333333334,7.729742341921941,4724.394666666667
cpu-hydra,MosquitoSound,25000.0,75001,3.0,63503,21167.666666666668,15.330462260503197,10837.845333333335
cpu-hydra,MosquitoSound,50000.0,150001,3.0,115602,38534.0,22.932513783241447,19729.408
cpu-hydra,MosquitoSound,100000.0,300001,3.0,191898,63966.0,36.03421321928927,32750.592
cpu-hydra,MosquitoSound,250000.0,750000,3.0,311248,103749.33333333333,58.50026666666667,53119.65866666666
cpu-hydra,MosquitoSound,500000.0,1150370,3.0,359988,119996.0,68.70676391074177,61437.952
